Hydrolab MS5 45211,,,,,,,,,,,,,,,
Log File Name : Russian_080216_081716,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 080116,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 131211,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 080216,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 080000,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 081716,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,LDO,,SpCond,,pH,,TurbSC,,IBatt,,LDO%
MMDDYY,HHMMSS,,øC,,mg/l,,æS/cm,,Units,,NTU,,Volts,,Sat
,,,,,,,,,,,,,,,
8/2/2016,8:00:00,,22.05,,7.51,,0.3,,7.15,,232.9,,12.5,,103.3
8/2/2016,8:15:00,,22.04,,7.54,,0.2,,7.15,,231.6,,12.5,,103.7
8/2/2016,8:30:00,,22.05,,7.54,,0.1,,7.14,,230,,12.5,,103.7
8/2/2016,8:45:00,,22.05,,7.54,,0.3,,7.14,,228,,12.5,,103.7
8/2/2016,9:00:00,,22.06,,7.56,,0.3,,7.16,,214.1,,12.5,,104
8/2/2016,9:15:00,,22.08,,7.55,,0.3,,7.15,,216.8,,12.6,,103.9
8/2/2016,9:30:00,,22.09,,7.55,,0.3,,7.15,,217.3,,12.6,,103.9
8/2/2016,9:45:00,,22.1,,7.53,,0.3,,7.14,,213.2,,12.6,,103.6
8/2/2016,10:00:00,,22.13,,7.53,,0.2,,7.14,,209.2,,12.6,,103.7
8/2/2016,10:15:00,,22.15,,7.53,,0.3,,7.14,,205.6,,12.7,,103.8
8/2/2016,10:30:00,,22.18,,7.71,,0.3,,7.11,,0,,12.6,,106.3
8/2/2016,10:45:00,,22.08,,7.67,,0.3,,7.1,,0,,12.6,,105.6
8/2/2016,11:00:00,,22.13,,7.69,,0.2,,7.09,,0,,12.6,,106
8/2/2016,11:15:00,,22.15,,7.66,,0.2,,7.09,,0,,12.7,,105.5
8/2/2016,11:30:00,,22.1,,7.69,,0.2,,7.07,,0,,12.7,,105.8
8/2/2016,11:45:00,,22.09,,7.69,,0.3,,7.1,,0,,12.7,,105.8
8/2/2016,12:00:00,,22.12,,7.7,,0.2,,7.08,,0,,12.7,,106
8/2/2016,12:15:00,,22.09,,7.66,,0.2,,7.08,,0,,12.7,,105.3
8/2/2016,12:30:00,,21.66,,7.69,,0.2,,7.07,,0,,12.7,,104.9
8/2/2016,12:45:00,,20.98,,7.76,,0.1,,6.99,,0,,12.6,,104.5
8/2/2016,13:00:00,,20.57,,7.83,,0.2,,7,,0,,12.6,,104.5
8/2/2016,13:15:00,,20.4,,7.83,,0.2,,7.05,,0,,12.7,,104.3
8/2/2016,13:30:00,,20.41,,7.89,,0.2,,7.04,,0,,12.7,,105
8/2/2016,13:45:00,,20.55,,7.86,,0.1,,7.09,,0,,12.6,,104.9
8/2/2016,14:00:00,,20.37,,7.84,,0.2,,7.08,,0.3,,12.6,,104.3
8/2/2016,14:15:00,,19.89,,7.89,,0.1,,7.08,,0.4,,12.6,,103.9
8/2/2016,14:30:00,,19.31,,7.95,,0.2,,6.95,,0.4,,12.5,,103.5
8/2/2016,14:45:00,,11.75,,11.14,,6.2,,7.7,,0,,12.5,,123.2
8/2/2016,15:00:00,,11.82,,11.07,,6.3,,11.25,,0,,12.4,,122.6
8/2/2016,15:15:00,,11.84,,11.16,,6.2,,10.95,,0,,12.3,,123.6
8/2/2016,15:30:00,,11.94,,11.11,,6,,10.75,,0,,12.2,,123.3
8/2/2016,15:45:00,,12.29,,10.97,,6.4,,10.61,,0,,12.1,,122.8
8/2/2016,16:00:00,,12.11,,11.11,,6.2,,8.59,,0,,12.1,,123.8
8/2/2016,16:15:00,,11.95,,11.09,,6.2,,8.11,,0,,12.1,,123.4
8/2/2016,16:30:00,,12.14,,11.08,,6.2,,8.06,,0,,12.1,,123.4
8/2/2016,16:45:00,,12.05,,11.07,,6.3,,8.04,,0,,12,,123.3
8/2/2016,17:00:00,,12.09,,11.1,,6,,8.05,,0,,12,,123.7
8/2/2016,17:15:00,,12.1,,11.08,,5.9,,8.04,,0,,12,,123.5
8/2/2016,17:30:00,,12.17,,11.06,,6,,8.02,,0,,11.9,,123.4
8/2/2016,17:45:00,,12.16,,11.04,,5.9,,8.03,,0,,11.9,,123.4
8/2/2016,18:00:00,,12.41,,11.01,,6,,8.01,,0,,11.9,,123.4
8/2/2016,18:15:00,,12.33,,11,,6.1,,8.02,,0,,11.8,,123.2
8/2/2016,18:30:00,,12.28,,11.06,,5.9,,8.02,,0,,11.8,,123.8
8/2/2016,18:45:00,,12.26,,11.08,,5.8,,8.02,,0,,11.8,,123.7
8/2/2016,19:00:00,,12.21,,11.07,,6,,8.02,,0,,11.8,,123.5
8/2/2016,19:15:00,,12.29,,11.07,,6,,7.99,,0,,11.8,,123.8
8/2/2016,19:30:00,,12.31,,11.03,,6,,8,,0,,11.8,,123.6
8/2/2016,19:45:00,,12.31,,11.1,,6,,7.98,,0,,11.8,,124
8/2/2016,20:00:00,,12.22,,11.05,,5.9,,7.99,,0,,11.8,,123.5
8/2/2016,20:15:00,,12.17,,11.03,,6,,8,,0,,11.8,,123.3
8/2/2016,20:30:00,,12.15,,11.05,,6,,7.98,,0,,11.8,,123.2
8/2/2016,20:45:00,,12.21,,11.02,,6,,7.98,,0,,11.8,,123
8/2/2016,21:00:00,,12.22,,10.98,,5.8,,7.97,,0,,11.8,,122.8
8/2/2016,21:15:00,,11.97,,11.1,,5.8,,7.98,,0,,11.8,,123.5
8/2/2016,21:30:00,,12.08,,11.04,,5.8,,7.97,,0,,11.8,,122.9
8/2/2016,21:45:00,,12.05,,11.03,,6,,7.96,,0,,11.8,,122.9
8/2/2016,22:00:00,,12.05,,11.01,,5.9,,7.95,,0,,11.8,,122.7
8/2/2016,22:15:00,,12.25,,10.99,,5.8,,7.94,,0,,11.8,,122.9
8/2/2016,22:30:00,,11.96,,11.06,,6.1,,7.92,,0,,11.8,,123
8/2/2016,22:45:00,,11.88,,11.04,,6,,7.94,,0,,11.8,,122.3
8/2/2016,23:00:00,,11.76,,11.07,,5.9,,7.92,,0,,11.8,,122.3
8/2/2016,23:15:00,,11.74,,11.07,,5.9,,7.91,,0,,11.8,,122.2
8/2/2016,23:30:00,,11.61,,11.07,,5.6,,7.91,,0,,11.8,,122
8/2/2016,23:45:00,,11.72,,11.1,,6,,7.91,,0,,11.8,,122.5
8/3/2016,0:00:00,,11.57,,11.12,,5.5,,7.89,,0,,11.8,,122.3
8/3/2016,0:15:00,,11.66,,11.05,,5.8,,7.89,,0,,11.7,,121.9
8/3/2016,0:30:00,,11.61,,11.14,,6.1,,7.89,,0,,11.7,,122.6
8/3/2016,0:45:00,,11.69,,11.02,,5.9,,7.88,,0,,11.8,,121.7
8/3/2016,1:00:00,,11.63,,11.14,,5.6,,7.88,,0,,11.7,,122.5
8/3/2016,1:15:00,,11.52,,11.11,,6.1,,7.88,,0,,11.7,,122.3
8/3/2016,1:30:00,,11.47,,11.08,,6.1,,7.88,,0,,11.8,,121.8
8/3/2016,1:45:00,,11.44,,11.12,,5.9,,7.87,,0,,11.7,,121.9
8/3/2016,2:00:00,,11.4,,11.13,,6,,7.88,,0,,11.8,,122
8/3/2016,2:15:00,,11.41,,11.21,,6.1,,7.87,,0,,11.8,,122.8
8/3/2016,2:30:00,,11.33,,11.19,,6.1,,7.86,,0,,11.8,,122.4
8/3/2016,2:45:00,,11.39,,11.16,,6.1,,7.87,,0,,11.7,,122.3
8/3/2016,3:00:00,,11.44,,11.14,,6.1,,7.87,,0,,11.7,,122.2
8/3/2016,3:15:00,,11.34,,11.18,,6.1,,7.89,,0,,11.8,,122.2
8/3/2016,3:30:00,,11.22,,11.19,,6.1,,7.87,,0,,11.7,,122
8/3/2016,3:45:00,,11.16,,11.12,,6.1,,7.87,,0,,11.7,,121.3
8/3/2016,4:00:00,,11.11,,11.15,,5.9,,7.87,,0,,11.7,,121.6
8/3/2016,4:15:00,,10.99,,11.19,,5.9,,7.88,,0,,11.7,,121.7
8/3/2016,4:30:00,,11.15,,11.19,,6.1,,7.87,,0,,11.7,,121.9
8/3/2016,4:45:00,,11.07,,11.24,,6.1,,7.86,,0,,11.7,,122
8/3/2016,5:00:00,,11,,11.24,,6.1,,7.87,,0,,11.7,,122
8/3/2016,5:15:00,,11.13,,11.22,,6,,7.86,,0,,11.7,,122.3
8/3/2016,5:30:00,,11.16,,11.14,,5.8,,7.85,,0,,11.7,,121.3
8/3/2016,5:45:00,,10.99,,11.15,,5.9,,7.84,,0,,11.7,,121
8/3/2016,6:00:00,,11.09,,11.14,,6,,7.86,,0,,11.7,,121.2
8/3/2016,6:15:00,,10.92,,11.17,,6,,7.86,,0,,11.7,,121.1
8/3/2016,6:30:00,,10.93,,11.17,,6.1,,7.86,,0,,11.7,,121.5
8/3/2016,6:45:00,,10.93,,11.16,,6.1,,7.84,,0,,11.7,,121.1
8/3/2016,7:00:00,,10.94,,11.2,,6.1,,7.84,,0,,11.7,,121.2
8/3/2016,7:15:00,,10.91,,11.18,,6.2,,7.84,,0,,11.7,,121.4
8/3/2016,7:30:00,,10.95,,11.17,,6.1,,7.86,,0,,11.7,,121.3
8/3/2016,7:45:00,,11.09,,11.13,,6.1,,7.86,,0,,11.7,,121.1
8/3/2016,8:00:00,,10.98,,11.22,,5.6,,7.89,,0,,11.7,,121.7
8/3/2016,8:15:00,,11.03,,11.16,,5.9,,7.88,,0,,11.7,,121.3
8/3/2016,8:30:00,,10.98,,11.21,,6.1,,7.87,,0,,11.7,,121.9
8/3/2016,8:45:00,,11.02,,11.23,,6,,7.89,,0,,11.7,,122.1
8/3/2016,9:00:00,,10.93,,11.23,,5.9,,7.88,,0,,11.7,,122
8/3/2016,9:15:00,,10.95,,11.26,,6,,7.9,,0,,11.7,,121.9
8/3/2016,9:30:00,,11.09,,11.19,,6.1,,7.9,,0,,11.7,,122
8/3/2016,9:45:00,,10.94,,11.22,,6.1,,7.89,,0,,11.7,,121.7
8/3/2016,10:00:00,,11.15,,11.17,,6,,7.89,,0,,11.7,,121.8
8/3/2016,10:15:00,,11.14,,11.27,,6,,7.89,,0,,11.7,,122.7
8/3/2016,10:30:00,,11.15,,11.33,,5.8,,7.91,,0,,11.7,,123.8
8/3/2016,10:45:00,,11.22,,11.3,,5.9,,7.92,,0,,11.7,,123.4
8/3/2016,11:00:00,,11.36,,11.27,,6.1,,7.92,,0,,11.7,,123.5
8/3/2016,11:15:00,,11.5,,11.24,,6.1,,7.93,,0,,11.7,,123.7
8/3/2016,11:30:00,,11.72,,11.27,,5.5,,7.92,,0,,11.8,,124.6
8/3/2016,11:45:00,,11.64,,11.22,,5.5,,7.94,,0,,11.8,,123.7
8/3/2016,12:00:00,,11.84,,11.26,,5.6,,7.95,,0,,11.7,,124.9
8/3/2016,12:15:00,,12.05,,11.13,,5.2,,7.95,,0,,11.8,,123.7
8/3/2016,12:30:00,,12.29,,11.18,,5.3,,7.94,,0,,11.8,,124.9
8/3/2016,12:45:00,,12.45,,11.13,,5.4,,7.94,,0,,11.8,,125.1
8/3/2016,13:00:00,,12.74,,11.13,,5.5,,7.93,,0,,11.8,,125.5
8/3/2016,13:15:00,,12.6,,11.04,,5.1,,7.94,,0,,11.8,,124.6
8/3/2016,13:30:00,,12.75,,11.08,,5.2,,7.93,,0,,11.8,,125.6
8/3/2016,13:45:00,,12.83,,11.08,,5.1,,7.97,,0,,11.8,,125.4
8/3/2016,14:00:00,,13.14,,10.98,,5.3,,7.94,,0,,11.8,,125.2
8/3/2016,14:15:00,,13.2,,11.02,,5,,7.94,,0,,11.8,,126
8/3/2016,14:30:00,,13.13,,10.93,,4.9,,7.92,,0,,11.8,,124.6
