Hydrolab MS5 46005,,,,,,,,,,,,,,,
Log File Name : Russian_060116_062016,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 053116,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 112418,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 060116,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 080000,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 062016,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,LDO,,SpCond,,pH,,TurbSC,,IBatt,,LDO%
MMDDYY,HHMMSS,,øC,,mg/l,,æS/cm,,Units,,NTU,,Volts,,Sat
,,,,,,,,,,,,,,,
6/1/2016,8:00:00,,20.71,,9.19,,0,,6.48,,2.1,,12.5,,103.7
6/1/2016,8:15:00,,20.59,,9.15,,0,,6.44,,2.6,,12.3,,103
6/1/2016,8:30:00,,19.98,,9.28,,0,,6.4,,2,,12.3,,103.2
6/1/2016,8:45:00,,19.82,,9.3,,0,,6.48,,2,,12.3,,103.1
6/1/2016,9:00:00,,19.81,,9.3,,0,,6.54,,1.8,,12.3,,103
6/1/2016,9:15:00,,19.73,,9.32,,0,,6.02,,3.2,,12.4,,103.2
6/1/2016,9:30:00,,19.23,,9.32,,0,,7.73,,2.5,,12.3,,102.1
6/1/2016,9:45:00,,18.51,,9.43,,0,,5.98,,2,,12.2,,101.8
6/1/2016,10:00:00,,17.98,,9.52,,0,,0,,2,,12.1,,101.7
6/1/2016,10:15:00,,16.9,,0,,0,,6.5,,2.1,,12.1,,0
6/1/2016,10:30:00,,8.9,,12.48,,78.1,,6.96,,0,,12.1,,109
6/1/2016,10:45:00,,9.24,,12.35,,78,,7.21,,0,,12,,108.7
6/1/2016,11:00:00,,9.15,,12.42,,77.9,,7.32,,0.3,,11.8,,109.1
6/1/2016,11:15:00,,9.44,,12.41,,77.2,,7.37,,0.6,,11.8,,109.8
6/1/2016,11:30:00,,9.3,,12.4,,77.5,,7.37,,0.6,,11.8,,109.3
6/1/2016,11:45:00,,9.44,,12.43,,77.6,,7.44,,0.8,,11.8,,109.9
6/1/2016,12:00:00,,9.69,,12.27,,77.7,,7.4,,0.9,,11.7,,109.2
6/1/2016,12:15:00,,9.63,,12.41,,77.4,,7.46,,1.3,,11.7,,110.3
6/1/2016,12:30:00,,9.8,,12.36,,78,,7.53,,1.2,,11.7,,110.3
