Hydrolab MS5 46005,,,,,,,,,,,,,,,
Log File Name : Russian_071816_081316,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 071816,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 094845,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 071816,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 100000,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 081316,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,LDO,,SpCond,,pH,,TurbSC,,IBatt,,LDO%
MMDDYY,HHMMSS,,øC,,mg/l,,æS/cm,,Units,,NTU,,Volts,,Sat
,,,,,,,,,,,,,,,
7/19/2016,0:45:00,,22.78,,7.41,,411,,6.76,,4.6,,12.7,,87.2
7/19/2016,1:00:00,,22.76,,7.44,,412,,6.76,,4.7,,12.7,,87.4
7/19/2016,1:15:00,,22.75,,7.43,,412,,6.76,,2.1,,12.7,,87.4
7/19/2016,1:30:00,,22.74,,7.46,,412,,6.76,,4,,12.7,,87.6
7/19/2016,1:45:00,,22.73,,7.44,,412,,6.76,,3.9,,12.7,,87.4
7/19/2016,2:00:00,,22.73,,7.45,,412,,6.76,,4,,12.7,,87.5
7/19/2016,2:15:00,,22.72,,7.44,,412,,6.76,,5.2,,12.7,,87.4
7/19/2016,2:30:00,,22.7,,7.44,,412,,6.76,,3.9,,12.7,,87.3
7/19/2016,2:45:00,,22.69,,7.46,,412,,6.77,,3.3,,12.7,,87.6
7/19/2016,3:00:00,,22.68,,7.44,,412,,6.77,,3.5,,12.7,,87.4
7/19/2016,3:15:00,,22.68,,7.44,,412,,6.77,,3.5,,12.7,,87.3
7/19/2016,3:30:00,,22.66,,7.45,,412,,6.77,,2.5,,12.7,,87.4
7/19/2016,3:45:00,,22.65,,7.43,,412,,6.77,,3.5,,12.7,,87.2
7/19/2016,4:00:00,,22.64,,7.43,,412,,6.77,,3.4,,12.7,,87.1
7/19/2016,4:15:00,,22.64,,7.46,,412,,6.77,,3.5,,12.7,,87.5
7/19/2016,4:30:00,,22.63,,7.43,,412,,6.77,,2.6,,12.7,,87.2
7/19/2016,4:45:00,,22.62,,7.44,,412,,6.77,,3.5,,12.7,,87.3
7/19/2016,5:00:00,,22.61,,7.44,,412,,6.76,,5.1,,12.7,,87.2
7/19/2016,5:15:00,,22.6,,7.44,,412,,6.77,,3.5,,12.7,,87.2
7/19/2016,5:30:00,,22.59,,7.44,,412,,6.77,,3.7,,12.7,,87.2
7/19/2016,5:45:00,,22.58,,7.47,,412,,6.76,,3.3,,12.7,,87.6
7/19/2016,6:00:00,,22.57,,7.45,,412,,6.77,,3.5,,12.7,,87.3
7/19/2016,6:15:00,,22.57,,7.44,,412,,6.77,,2.4,,12.7,,87.1
7/19/2016,6:30:00,,22.55,,7.44,,413,,6.77,,3.6,,12.7,,87.2
7/19/2016,6:45:00,,22.54,,7.45,,413,,6.77,,4,,12.7,,87.2
7/19/2016,7:00:00,,22.53,,7.44,,413,,6.77,,3,,12.7,,87.1
7/19/2016,7:15:00,,22.53,,7.45,,413,,6.76,,4.3,,12.7,,87.2
7/19/2016,7:30:00,,22.52,,7.45,,413,,6.76,,3.7,,12.7,,87.2
7/19/2016,7:45:00,,22.5,,7.45,,413,,6.76,,2.7,,12.7,,87.1
7/19/2016,8:00:00,,22.49,,7.47,,413,,6.76,,3.4,,12.7,,87.4
7/19/2016,8:15:00,,22.49,,7.46,,413,,6.76,,1.7,,12.7,,87.2
7/19/2016,8:30:00,,22.48,,7.45,,413,,6.76,,1.3,,12.7,,87.2
7/19/2016,8:45:00,,22.47,,7.44,,413,,6.76,,3.6,,12.7,,86.9
7/19/2016,9:00:00,,22.47,,7.07,,413,,6.76,,3.3,,12.7,,82.7
7/19/2016,9:15:00,,22.53,,7.49,,0,,6.73,,2.8,,12.7,,87.5
7/19/2016,9:30:00,,22.51,,7.42,,0,,6.71,,3.3,,12.7,,86.7
7/19/2016,9:45:00,,22.55,,7.46,,0,,6.71,,2.5,,12.7,,87.2
7/19/2016,10:00:00,,22.54,,7.42,,0,,6.71,,2.7,,12.7,,86.7
7/19/2016,10:15:00,,22.52,,7.4,,0,,6.7,,2.6,,12.7,,86.5
7/19/2016,10:30:00,,22.5,,7.42,,0,,6.7,,2.1,,12.7,,86.7
7/19/2016,10:45:00,,22.47,,7.42,,0,,6.71,,2.4,,12.7,,86.6
7/19/2016,11:00:00,,22.44,,7.45,,0,,6.7,,2.4,,12.7,,87
7/19/2016,11:15:00,,22.42,,7.42,,0.1,,6.7,,2,,12.7,,86.5
7/19/2016,11:30:00,,22.4,,7.45,,0,,6.7,,2.8,,12.7,,86.8
7/19/2016,11:45:00,,23.07,,7.29,,0,,6.69,,3,,12.8,,86.1
7/19/2016,12:00:00,,23.53,,7.22,,0,,6.74,,3,,12.8,,86.1
7/19/2016,12:15:00,,23.82,,7.2,,0,,6.73,,2.6,,12.8,,86.3
7/19/2016,12:30:00,,24.02,,7.2,,0,,6.69,,3.2,,12.8,,86.5
7/19/2016,12:45:00,,24.28,,7.18,,0.1,,6.71,,6.3,,12.8,,86.8
7/19/2016,13:00:00,,25.08,,7.05,,0,,6.98,,4.9,,12.8,,86.5
7/19/2016,13:15:00,,25.38,,7.01,,0,,6.51,,4.8,,12.8,,86.5
7/19/2016,13:30:00,,26.47,,0,,416,,6.79,,24.3,,12.8,,0
7/19/2016,13:45:00,,25.71,,0,,427,,6.78,,4.8,,12.9,,0
