HYDROLAB MS5 64819,,,,,,,,,,,,,,,,,
Log File Name : Russian_051016_053016,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 050916,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 132432,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 051016,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 090000,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 053016,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,IBatt,,SpCond,,pH,,TurbSC,,LDO%,,LDO,,BP
MMDDYY,HHMMSS,,øC,,Volts,,æS/cm,,Units,,NTU,,Sat,,mg/l,,mmHg
,,,,,,,,,,,,,,,,,
5/10/2016,12:00:00,,6.77,,11.7,,65.2,,5.29,,0,,123.7,,12.64,,637
5/10/2016,12:15:00,,6.94,,11.6,,64.8,,6.74,,0,,123.8,,12.59,,637
5/10/2016,12:30:00,,7.08,,11.4,,64.9,,7.13,,0,,124.1,,12.58,,637
5/10/2016,12:45:00,,7.19,,11.4,,65.1,,7.34,,0,,124.4,,12.58,,637
5/10/2016,13:00:00,,7.29,,11.4,,65.2,,7.5,,0,,124.9,,12.6,,637
5/10/2016,13:15:00,,7.41,,11.4,,65.7,,7.6,,0,,124.5,,12.52,,637
5/10/2016,13:30:00,,7.54,,11.4,,65.7,,7.71,,0,,124.7,,12.5,,637
5/10/2016,13:45:00,,7.63,,11.4,,65.9,,7.71,,0,,125.4,,12.54,,637
5/10/2016,14:00:00,,7.67,,11.4,,65.6,,7.82,,0,,125,,12.48,,637
5/10/2016,14:15:00,,7.77,,11.4,,65.9,,7.83,,0,,125.1,,12.47,,637
5/10/2016,14:30:00,,7.92,,11.4,,65.9,,7.81,,0,,125.2,,12.43,,637
5/10/2016,14:45:00,,8.04,,11.4,,65.4,,7.91,,0,,125.6,,12.44,,637
5/10/2016,15:00:00,,8.16,,11.4,,65.9,,7.95,,0,,125.5,,12.39,,637
5/10/2016,15:15:00,,8.33,,11.5,,65.6,,7.96,,0,,125.6,,12.35,,637
5/10/2016,15:30:00,,8.32,,11.5,,66,,7.98,,0,,125.8,,12.37,,637
5/10/2016,15:45:00,,8.33,,11.5,,65.5,,8.02,,0,,126.3,,12.41,,637
5/10/2016,16:00:00,,8.4,,11.5,,64.8,,8,,0,,126.1,,12.37,,637
5/10/2016,16:15:00,,8.43,,11.5,,65,,8.06,,0,,125.6,,12.32,,637
5/10/2016,16:30:00,,8.5,,11.5,,65.9,,7.99,,0,,125.6,,12.3,,637
5/10/2016,16:45:00,,8.6,,11.5,,66.5,,8.02,,0,,125.6,,12.26,,637
5/10/2016,17:00:00,,8.57,,11.5,,67.3,,8.03,,0,,125.2,,12.24,,637
5/10/2016,17:15:00,,8.57,,11.5,,66.9,,8.04,,0,,125.6,,12.27,,637
5/10/2016,17:30:00,,8.65,,11.5,,66.8,,8.06,,0,,125,,12.2,,637
5/10/2016,17:45:00,,8.52,,11.5,,67,,8.06,,0,,124.8,,12.21,,637
5/10/2016,18:00:00,,8.33,,11.5,,67.7,,8.04,,0,,125,,12.29,,637
5/10/2016,18:15:00,,8.22,,11.5,,66.7,,8.11,,0,,124.6,,12.28,,637
5/10/2016,18:30:00,,8.18,,11.5,,67.6,,8.07,,0,,124.5,,12.29,,637
5/10/2016,18:45:00,,8.16,,11.5,,66.9,,8.07,,0,,124.3,,12.27,,637
5/10/2016,19:00:00,,8.16,,11.5,,67.1,,8.06,,0,,124.5,,12.29,,637
5/10/2016,19:15:00,,8.04,,11.5,,67.2,,8.06,,0,,124.2,,12.3,,637
5/10/2016,19:30:00,,8.01,,11.5,,66.6,,8.11,,0,,124.2,,12.31,,637
5/10/2016,19:45:00,,7.91,,11.5,,66.3,,8.08,,0,,123.7,,12.28,,637
5/10/2016,20:00:00,,7.84,,11.5,,66.4,,8.09,,0,,123.6,,12.29,,637
5/10/2016,20:15:00,,7.76,,11.5,,66.9,,8.08,,0,,123.1,,12.27,,637
5/10/2016,20:30:00,,7.65,,11.5,,66.4,,8.04,,0,,123.4,,12.34,,637
5/10/2016,20:45:00,,7.65,,11.5,,66.9,,8.06,,0,,123,,12.29,,637
5/10/2016,21:00:00,,7.59,,11.5,,66.8,,8.08,,0,,122.6,,12.27,,637
5/10/2016,21:15:00,,7.53,,11.5,,66.7,,8.08,,0,,122.6,,12.29,,637
5/10/2016,21:30:00,,7.42,,11.5,,66,,8.01,,0,,122.2,,12.28,,637
5/10/2016,21:45:00,,7.34,,11.5,,66.1,,8.06,,0,,121.9,,12.28,,637
5/10/2016,22:00:00,,7.28,,11.5,,65.6,,7.98,,0,,121.8,,12.29,,637
5/10/2016,22:15:00,,7.1,,11.5,,66,,8.07,,0,,121.7,,12.34,,637
5/10/2016,22:30:00,,7.07,,11.5,,65.8,,8.09,,0,,121.5,,12.32,,637
5/10/2016,22:45:00,,7.11,,11.5,,65.4,,8.06,,0,,121.6,,12.32,,637
5/10/2016,23:00:00,,6.98,,11.5,,66.6,,8.04,,0,,121.5,,12.35,,637
5/10/2016,23:15:00,,7,,11.5,,65.1,,8.06,,0,,121.8,,12.38,,637
5/10/2016,23:30:00,,6.91,,11.4,,66.1,,8.08,,0,,121.2,,12.34,,637
5/10/2016,23:45:00,,6.9,,11.5,,65.8,,8.06,,0,,121.3,,12.35,,637
5/11/2016,0:00:00,,6.83,,11.5,,65.9,,8.05,,0,,121.7,,12.41,,637
5/11/2016,0:15:00,,6.86,,11.5,,65.4,,8.05,,0,,120.7,,12.3,,637
5/11/2016,0:30:00,,6.7,,11.5,,64.9,,8.06,,0,,121.2,,12.41,,637
5/11/2016,0:45:00,,6.68,,11.4,,65.2,,8.06,,0,,120.8,,12.37,,637
5/11/2016,1:00:00,,6.69,,11.4,,64.7,,8.08,,0,,120.9,,12.38,,637
5/11/2016,1:15:00,,6.66,,11.4,,65.6,,8.06,,0,,120.8,,12.38,,637
5/11/2016,1:30:00,,6.7,,11.5,,65,,8.06,,0,,121,,12.38,,637
5/11/2016,1:45:00,,6.69,,11.5,,64.2,,8.04,,0,,121,,12.38,,637
5/11/2016,2:00:00,,6.62,,11.5,,64.2,,8.07,,0,,120.4,,12.35,,637
5/11/2016,2:15:00,,6.64,,11.5,,64.2,,8.02,,0,,120.6,,12.36,,637
5/11/2016,2:30:00,,6.58,,11.5,,64.6,,8.04,,0,,120.3,,12.35,,637
5/11/2016,2:45:00,,6.57,,11.5,,64.7,,7.94,,0,,120.5,,12.38,,637
5/11/2016,3:00:00,,6.48,,11.4,,64.8,,8.04,,0,,120.6,,12.41,,637
5/11/2016,3:15:00,,6.55,,11.5,,64.5,,8.04,,0,,120.7,,12.4,,637
5/11/2016,3:30:00,,6.6,,11.5,,64.5,,8.05,,0,,120.4,,12.35,,637
5/11/2016,3:45:00,,6.65,,11.5,,64.2,,8.03,,0,,120.2,,12.32,,637
5/11/2016,4:00:00,,6.57,,11.5,,64.5,,8.03,,0,,120.7,,12.39,,637
5/11/2016,4:15:00,,6.52,,11.5,,64.1,,8.01,,0,,120.2,,12.36,,637
5/11/2016,4:30:00,,6.6,,11.5,,64.4,,8.02,,0,,120.5,,12.36,,637
5/11/2016,4:45:00,,6.59,,11.5,,63.6,,8.04,,0,,120.2,,12.34,,637
5/11/2016,5:00:00,,6.58,,11.5,,64.4,,8.06,,0,,120.3,,12.35,,637
5/11/2016,5:15:00,,6.6,,11.5,,64.4,,8.01,,0,,120,,12.32,,637
5/11/2016,5:30:00,,6.56,,11.5,,64.2,,8.07,,0,,119.9,,12.32,,637
5/11/2016,5:45:00,,6.64,,11.5,,64.5,,8.03,,0,,120.1,,12.31,,637
5/11/2016,6:00:00,,6.54,,11.5,,64.6,,8.02,,0,,120.2,,12.36,,637
5/11/2016,6:15:00,,6.54,,11.5,,64.5,,8.03,,0,,120.4,,12.37,,637
5/11/2016,6:30:00,,6.58,,11.5,,64.2,,7.96,,0,,120.4,,12.36,,637
5/11/2016,6:45:00,,6.61,,11.5,,64.4,,8.06,,0,,120.4,,12.35,,637
5/11/2016,7:00:00,,6.64,,11.5,,64.2,,8.05,,0,,120.6,,12.36,,637
5/11/2016,7:15:00,,6.7,,11.5,,64.1,,8.02,,0,,120.6,,12.34,,637
5/11/2016,7:30:00,,6.75,,11.5,,63.9,,8.03,,0,,120.8,,12.35,,637
5/11/2016,7:45:00,,6.68,,11.5,,64.6,,8.05,,0,,120.8,,12.37,,637
5/11/2016,8:00:00,,6.7,,11.5,,64.4,,8.03,,0,,121.3,,12.42,,637
5/11/2016,8:15:00,,6.84,,11.6,,64.1,,8.06,,0,,121.2,,12.36,,637
5/11/2016,8:30:00,,6.79,,11.5,,64.1,,8.07,,0,,121.2,,12.38,,637
5/11/2016,8:45:00,,6.79,,11.5,,64.4,,8.09,,0,,121.4,,12.4,,637
5/11/2016,9:00:00,,6.78,,11.6,,64.6,,8.07,,0,,121.6,,12.42,,637
5/11/2016,9:15:00,,6.83,,11.5,,64.3,,8.07,,0,,121.8,,12.43,,637
