HYDROLAB MS5 64823,,,,,,,,,,,,,,,,,,,
Log File Name : Beaver_051216_053016,,,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 051216,,,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 130927,,,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 051216,,,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 133000,,,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 053016,,,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO%,,IBatt,,SpCond,,LDO,,BP
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,Sat,,Volts,,æS/cm,,mg/l,,mmHg
,,,,,,,,,,,,,,,,,,,
5/22/2016,1:15:00,,8.88,,7.42,,0.03,,4.3,,96.5,,8.4,,89.9,,9.37,,638
5/22/2016,1:30:00,,8.81,,7.42,,0.03,,4.3,,95.8,,8.4,,89.8,,9.32,,638
5/22/2016,1:45:00,,8.75,,7.42,,0.03,,4.1,,96.2,,8.3,,90.1,,9.37,,638
5/22/2016,2:00:00,,8.69,,7.41,,0.03,,4.5,,95.7,,8.3,,89.9,,9.34,,638
5/22/2016,2:15:00,,8.63,,7.42,,0.03,,4.9,,95.9,,8.4,,90.1,,9.37,,638
5/22/2016,2:30:00,,8.56,,7.41,,0.03,,4.1,,95.6,,8.3,,89.9,,9.36,,638
5/22/2016,2:45:00,,8.5,,7.41,,0.03,,4,,95.6,,8.3,,90,,9.37,,638
5/22/2016,3:00:00,,8.45,,7.41,,0.03,,4.3,,95.7,,8.3,,89.7,,9.39,,638
5/22/2016,3:15:00,,8.39,,7.42,,0.03,,4.1,,95.6,,8.3,,90,,9.39,,638
5/22/2016,3:30:00,,8.35,,7.41,,0.03,,4.5,,95.2,,8.3,,89.8,,9.37,,638
5/22/2016,3:45:00,,8.29,,7.41,,0.03,,4.9,,95.3,,8.3,,89.9,,9.39,,638
5/22/2016,4:00:00,,8.23,,7.41,,0.03,,5.1,,95.4,,8.3,,89.9,,9.41,,638
5/22/2016,4:15:00,,8.18,,7.41,,0.03,,4.7,,95.6,,8.3,,89.7,,9.44,,638
5/22/2016,4:30:00,,8.12,,7.41,,0.03,,5.4,,95.3,,8.3,,89.6,,9.43,,638
5/22/2016,4:45:00,,8.07,,7.42,,0.03,,4.3,,95,,8.3,,89.6,,9.42,,638
5/22/2016,5:00:00,,8.01,,7.41,,0.03,,7.5,,95.3,,8.3,,89.6,,9.45,,638
5/22/2016,5:15:00,,7.94,,7.41,,0.03,,4.1,,95,,8.3,,89.8,,9.44,,638
5/22/2016,5:30:00,,7.89,,7.4,,0.03,,5.8,,95.1,,8.3,,89.7,,9.46,,638
5/22/2016,5:45:00,,7.82,,7.41,,0.03,,4.6,,95.1,,8.3,,90,,9.48,,638
5/22/2016,6:00:00,,7.76,,7.4,,0.03,,4.4,,94.9,,8.3,,89.7,,9.47,,638
5/22/2016,6:15:00,,7.71,,7.41,,0.03,,4.3,,95.4,,8.3,,89.8,,9.53,,638
5/22/2016,6:30:00,,7.66,,7.41,,0.03,,3.3,,95.7,,8.3,,90.1,,9.58,,638
5/22/2016,6:45:00,,7.62,,7.41,,0.03,,4.1,,95.2,,8.3,,90.1,,9.54,,638
5/22/2016,7:00:00,,7.58,,7.41,,0.03,,3.8,,95.2,,8.3,,90.1,,9.55,,638
5/22/2016,7:15:00,,7.55,,7.42,,0.03,,4.3,,95.8,,8.3,,90.1,,9.61,,638
5/22/2016,7:30:00,,7.54,,7.41,,0.03,,4.7,,95.7,,8.3,,89.8,,9.6,,638
5/22/2016,7:45:00,,7.53,,7.42,,0.03,,4.4,,96,,8.3,,89.8,,9.64,,638
5/22/2016,8:00:00,,7.53,,7.42,,0.03,,4,,96.5,,8.3,,90.1,,9.69,,638
5/22/2016,8:15:00,,7.54,,7.42,,0.03,,5.4,,96.7,,8.3,,89.8,,9.71,,638
5/22/2016,8:30:00,,7.56,,7.43,,0.03,,3.3,,97.2,,8.3,,89.8,,9.75,,638
5/22/2016,8:45:00,,7.59,,7.43,,0.03,,4.2,,98,,8.3,,89.8,,9.83,,638
5/22/2016,9:00:00,,7.64,,7.44,,0.03,,4,,98.1,,8.3,,89.8,,9.82,,638
5/22/2016,9:15:00,,7.7,,7.44,,0.03,,3.2,,99.2,,8.3,,89.8,,9.91,,638
5/22/2016,9:30:00,,7.76,,7.45,,0.03,,3.4,,99,,8.3,,90.1,,9.89,,638
5/22/2016,9:45:00,,7.84,,7.44,,0.03,,3.3,,99.6,,8.3,,89.8,,9.92,,638
5/22/2016,10:00:00,,7.92,,7.45,,0.03,,3.5,,99.7,,8.3,,90.1,,9.92,,638
5/22/2016,10:15:00,,8.02,,7.45,,0.03,,3.8,,100.6,,8.3,,90,,9.98,,638
5/22/2016,10:30:00,,8.13,,7.45,,0.03,,2.9,,101.3,,8.3,,89.8,,10.02,,638
5/22/2016,10:45:00,,8.23,,7.46,,0.03,,2.9,,101.3,,8.3,,90.1,,10,,638
5/22/2016,11:00:00,,8.33,,7.47,,0.03,,4.1,,101.6,,8.3,,89.9,,10,,638
5/22/2016,11:15:00,,8.45,,7.46,,0.03,,3.4,,102,,8.3,,89.8,,10.01,,638
5/22/2016,11:30:00,,8.57,,7.47,,0.03,,3,,102.5,,8.3,,89.9,,10.03,,638
5/22/2016,11:45:00,,8.69,,7.48,,0.03,,3.1,,102.9,,8.3,,89.9,,10.04,,638
5/22/2016,12:00:00,,8.81,,7.47,,0.03,,3.1,,103.5,,8.3,,90.2,,10.07,,638
5/22/2016,12:15:00,,8.93,,7.47,,0.03,,3.7,,103.9,,8.3,,90.2,,10.08,,638
5/22/2016,12:30:00,,9.05,,7.49,,0.03,,3.9,,103.9,,8.3,,90.3,,10.05,,638
5/22/2016,12:45:00,,9.19,,7.48,,0.03,,3.1,,104.1,,8.3,,90.3,,10.04,,638
5/22/2016,13:00:00,,9.33,,7.49,,0.03,,3.1,,104.3,,8.3,,90.3,,10.02,,638
5/22/2016,13:15:00,,9.47,,7.49,,0.03,,2.9,,104.5,,8.3,,90.1,,10.01,,638
5/22/2016,13:30:00,,9.62,,7.49,,0.03,,2.7,,105.2,,8.3,,90.1,,10.04,,638
5/22/2016,13:45:00,,9.76,,7.49,,0.03,,3.5,,105.2,,8.3,,90.3,,10,,638
5/22/2016,14:00:00,,9.89,,7.5,,0.03,,3.2,,105.9,,8.4,,90.5,,10.04,,638
5/22/2016,14:15:00,,10.02,,7.5,,0.03,,3,,105.8,,8.4,,90.5,,10,,638
5/22/2016,14:30:00,,10.11,,7.49,,0.03,,3.2,,105.8,,8.3,,90.2,,9.98,,638
5/22/2016,14:45:00,,10.22,,7.5,,0.03,,3.2,,105.8,,8.4,,90.6,,9.95,,638
5/22/2016,15:00:00,,10.3,,7.5,,0.03,,3.6,,106.3,,8.4,,90.5,,9.98,,638
5/22/2016,15:15:00,,10.37,,7.5,,0.03,,3.9,,106.4,,8.4,,90.6,,9.97,,638
5/22/2016,15:30:00,,10.44,,7.5,,0.03,,4,,106,,8.4,,90.6,,9.92,,638
5/22/2016,15:45:00,,10.5,,7.51,,0.03,,3.3,,106.1,,8.4,,90.4,,9.91,,638
5/22/2016,16:00:00,,10.6,,7.5,,0.03,,3,,106.4,,8.4,,90.3,,9.92,,638
5/22/2016,16:15:00,,10.69,,7.5,,0.03,,3.6,,106.3,,8.4,,90.4,,9.89,,638
5/22/2016,16:30:00,,10.74,,7.5,,0.03,,2.7,,106.1,,8.4,,90.4,,9.86,,638
5/22/2016,16:45:00,,10.71,,7.5,,0.03,,3,,105.9,,8.4,,90.4,,9.85,,638
5/22/2016,17:00:00,,10.74,,7.5,,0.03,,3.2,,105.6,,8.4,,90.6,,9.82,,638
5/22/2016,17:15:00,,10.8,,7.5,,0.03,,2.9,,105.7,,8.4,,90.7,,9.81,,638
5/22/2016,17:30:00,,10.82,,7.5,,0.03,,2.9,,105.7,,8.4,,90.4,,9.8,,638
5/22/2016,17:45:00,,10.79,,7.49,,0.03,,4.6,,105.8,,8.4,,90.4,,9.83,,638
5/22/2016,18:00:00,,10.79,,7.49,,0.03,,3.8,,104.9,,8.4,,90.5,,9.74,,638
5/22/2016,18:15:00,,10.81,,7.5,,0.03,,4.3,,105.1,,8.4,,90.6,,9.75,,638
5/22/2016,18:30:00,,10.81,,7.49,,0.03,,3.2,,104.7,,8.4,,90.8,,9.71,,638
5/22/2016,18:45:00,,10.79,,7.49,,0.03,,3.5,,104.6,,8.4,,90.8,,9.71,,638
5/22/2016,19:00:00,,10.79,,7.49,,0.03,,4.3,,104.3,,8.4,,90.5,,9.68,,638
5/22/2016,19:15:00,,10.81,,7.48,,0.03,,3.6,,104.7,,8.4,,90.6,,9.72,,638
5/22/2016,19:30:00,,10.79,,7.48,,0.03,,2.9,,103.5,,8.4,,90.7,,9.61,,638
5/22/2016,19:45:00,,10.76,,7.48,,0.03,,3.1,,103.2,,8.4,,90.5,,9.59,,638
5/22/2016,20:00:00,,10.72,,7.47,,0.03,,3.6,,103,,8.4,,90.6,,9.58,,638
5/22/2016,20:15:00,,10.69,,7.47,,0.03,,3.4,,102.5,,8.4,,90.6,,9.54,,638
5/22/2016,20:30:00,,10.64,,7.47,,0.03,,3,,102,,8.4,,90.9,,9.51,,638
5/22/2016,20:45:00,,10.59,,7.47,,0.03,,3.5,,101.7,,8.4,,90.6,,9.48,,638
5/22/2016,21:00:00,,10.54,,7.47,,0.03,,3.7,,101.1,,8.4,,90.7,,9.44,,638
5/22/2016,21:15:00,,10.5,,7.47,,0.03,,3.9,,100.6,,8.4,,90.8,,9.41,,638
5/22/2016,21:30:00,,10.44,,7.46,,0.03,,3.7,,100.5,,8.4,,90.9,,9.41,,638
5/22/2016,21:45:00,,10.39,,7.47,,0.03,,3.7,,100,,8.4,,90.8,,9.37,,638
5/22/2016,22:00:00,,10.34,,7.45,,0.03,,3.8,,99.3,,8.4,,90.9,,9.31,,638
5/22/2016,22:15:00,,10.28,,7.44,,0.03,,3.5,,99,,8.4,,90.9,,9.3,,638
5/22/2016,22:30:00,,10.23,,7.44,,0.03,,3.9,,98.7,,8.4,,90.7,,9.28,,638
5/22/2016,22:45:00,,10.18,,7.44,,0.03,,3,,98.5,,8.4,,90.6,,9.28,,638
5/22/2016,23:00:00,,10.12,,7.43,,0.03,,3.1,,98.3,,8.4,,90.7,,9.27,,638
5/22/2016,23:15:00,,10.07,,7.43,,0.03,,3.8,,97.4,,8.4,,90.9,,9.2,,638
5/22/2016,23:30:00,,10.01,,7.43,,0.03,,3.9,,97,,8.4,,90.7,,9.17,,638
5/22/2016,23:45:00,,9.96,,7.42,,0.03,,3.3,,97.2,,8.4,,90.9,,9.2,,638
5/23/2016,0:00:00,,9.9,,7.42,,0.03,,3.2,,97,,8.4,,90.9,,9.19,,638
5/23/2016,0:15:00,,9.84,,7.42,,0.03,,3.9,,96.6,,8.4,,90.6,,9.17,,638
5/23/2016,0:30:00,,9.78,,7.42,,0.03,,3.8,,96.3,,8.4,,90.7,,9.15,,638
5/23/2016,0:45:00,,9.73,,7.41,,0.03,,4.3,,96.5,,8.4,,91,,9.18,,638
5/23/2016,1:00:00,,9.68,,7.41,,0.03,,6.2,,96.1,,8.4,,90.7,,9.16,,638
5/23/2016,1:15:00,,9.62,,7.41,,0.03,,3.8,,96,,8.4,,90.7,,9.16,,638
5/23/2016,1:30:00,,9.56,,7.41,,0.03,,4.2,,95.8,,8.3,,90.7,,9.16,,638
5/23/2016,1:45:00,,9.49,,7.41,,0.03,,5.5,,95.6,,8.3,,91,,9.15,,638
5/23/2016,2:00:00,,9.43,,7.41,,0.03,,4.1,,95.5,,8.3,,90.9,,9.16,,638
5/23/2016,2:15:00,,9.36,,7.42,,0.03,,4.6,,95.2,,8.3,,90.8,,9.14,,638
5/23/2016,2:30:00,,9.3,,7.41,,0.03,,4.1,,95.2,,8.3,,90.7,,9.15,,638
5/23/2016,2:45:00,,9.23,,7.4,,0.03,,3.9,,95.1,,8.3,,90.7,,9.16,,638
5/23/2016,3:00:00,,9.15,,7.4,,0.03,,3.9,,95.4,,8.3,,90.8,,9.21,,638
5/23/2016,3:15:00,,9.08,,7.41,,0.03,,3.8,,95.1,,8.3,,90.7,,9.2,,638
5/23/2016,3:30:00,,9.02,,7.4,,0.03,,4.1,,95,,8.3,,90.8,,9.2,,638
5/23/2016,3:45:00,,8.94,,7.4,,0.03,,3.9,,94.7,,8.3,,91,,9.19,,638
5/23/2016,4:00:00,,8.87,,7.39,,0.03,,3.9,,94.9,,8.3,,91,,9.22,,638
5/23/2016,4:15:00,,8.8,,7.4,,0.03,,4.6,,94.8,,8.3,,91,,9.23,,638
5/23/2016,4:30:00,,8.73,,7.4,,0.03,,4.1,,94.7,,8.3,,90.8,,9.23,,638
5/23/2016,4:45:00,,8.66,,7.4,,0.03,,3.9,,94.8,,8.3,,90.8,,9.26,,638
5/23/2016,5:00:00,,8.59,,7.4,,0.03,,4.8,,94.6,,8.3,,91.1,,9.25,,638
5/23/2016,5:15:00,,8.53,,7.4,,0.03,,4,,94.2,,8.3,,90.9,,9.23,,638
5/23/2016,5:30:00,,8.46,,7.4,,0.03,,4,,94.5,,8.3,,90.9,,9.27,,638
5/23/2016,5:45:00,,8.4,,7.4,,0.03,,3.3,,94.6,,8.3,,91.1,,9.3,,638
5/23/2016,6:00:00,,8.34,,7.4,,0.03,,4.4,,94.6,,8.3,,91,,9.31,,638
5/23/2016,6:15:00,,8.29,,7.4,,0.03,,3.6,,94.8,,8.3,,91.2,,9.34,,638
5/23/2016,6:30:00,,8.24,,7.4,,0.03,,3.7,,94.8,,8.3,,90.9,,9.35,,638
5/23/2016,6:45:00,,8.22,,7.4,,0.03,,4,,95,,8.3,,91,,9.38,,638
5/23/2016,7:00:00,,8.2,,7.4,,0.03,,3.2,,95.4,,8.3,,91,,9.43,,638
5/23/2016,7:15:00,,8.19,,7.41,,0.03,,3.2,,95.2,,8.3,,91.1,,9.41,,638
5/23/2016,7:30:00,,8.18,,7.41,,0.03,,3.9,,95.8,,8.3,,91,,9.47,,638
5/23/2016,7:45:00,,8.17,,7.42,,0.03,,3.9,,96.1,,8.3,,91,,9.5,,638
5/23/2016,8:00:00,,8.16,,7.41,,0.03,,3.2,,96.5,,8.3,,91.3,,9.54,,638
5/23/2016,8:15:00,,8.16,,7.41,,0.03,,3.4,,96.5,,8.3,,91,,9.54,,638
5/23/2016,8:30:00,,8.18,,7.41,,0.03,,3.3,,96.8,,8.3,,91.1,,9.57,,638
5/23/2016,8:45:00,,8.21,,7.41,,0.03,,2.9,,97.5,,8.2,,91.1,,9.63,,638
5/23/2016,9:00:00,,8.21,,7.42,,0.03,,3.1,,97.9,,8.3,,91.4,,9.67,,638
5/23/2016,9:15:00,,8.24,,7.43,,0.03,,3.2,,97.9,,8.3,,91.3,,9.66,,638
5/23/2016,9:30:00,,8.32,,7.44,,0.03,,5.4,,98.5,,8.3,,91.1,,9.7,,638
5/23/2016,9:45:00,,8.4,,7.44,,0.03,,3.5,,99,,8.3,,91.1,,9.73,,638
5/23/2016,10:00:00,,8.48,,7.44,,0.03,,3.2,,99.4,,8.3,,91.2,,9.75,,638
5/23/2016,10:15:00,,8.57,,7.44,,0.03,,3.9,,100,,8.3,,91.2,,9.79,,638
5/23/2016,10:30:00,,8.67,,7.45,,0.03,,3.3,,100.9,,8.3,,91.6,,9.85,,638
5/23/2016,10:45:00,,8.79,,7.45,,0.03,,3.8,,101,,8.3,,91.3,,9.84,,638
5/23/2016,11:00:00,,8.92,,7.45,,0.03,,3.2,,101.7,,8.3,,91.5,,9.87,,638
5/23/2016,11:15:00,,9.04,,7.45,,0.03,,3.4,,101.8,,8.3,,91.6,,9.85,,638
5/23/2016,11:30:00,,9.12,,7.46,,0.03,,2.8,,102.2,,8.3,,91.4,,9.87,,638
5/23/2016,11:45:00,,9.17,,7.46,,0.03,,3.2,,101.9,,8.3,,91.3,,9.83,,638
5/23/2016,12:00:00,,9.23,,7.47,,0.03,,3.4,,102,,8.3,,91.7,,9.83,,638
5/23/2016,12:15:00,,9.32,,7.46,,0.03,,3.4,,102.5,,8.3,,91.4,,9.85,,638
5/23/2016,12:30:00,,9.33,,7.46,,0.03,,2.8,,102.3,,8.3,,91.4,,9.83,,638
5/23/2016,12:45:00,,9.47,,7.46,,0.03,,2.8,,103,,8.3,,91.6,,9.86,,638
5/23/2016,13:00:00,,9.62,,7.46,,0.03,,3,,103.5,,8.3,,91.7,,9.88,,638
5/23/2016,13:15:00,,9.85,,7.47,,0.03,,3.8,,103.5,,8.3,,91.8,,9.82,,638
5/23/2016,13:30:00,,10,,7.47,,0.03,,3.6,,104.2,,8.3,,91.8,,9.85,,638
5/23/2016,13:45:00,,10.18,,7.48,,0.03,,3.1,,104.8,,8.3,,91.6,,9.87,,638
5/23/2016,14:00:00,,10.32,,7.48,,0.03,,3.3,,104.9,,8.3,,91.9,,9.85,,638
5/23/2016,14:15:00,,10.44,,7.47,,0.03,,3.4,,105.3,,8.3,,91.7,,9.85,,638
5/23/2016,14:30:00,,10.57,,7.48,,0.03,,3.1,,105.5,,8.3,,92,,9.84,,638
5/23/2016,14:45:00,,10.7,,7.48,,0.03,,3.5,,105.6,,8.3,,91.7,,9.82,,638
5/23/2016,15:00:00,,10.84,,7.48,,0.03,,3,,105.7,,8.4,,91.7,,9.8,,638
5/23/2016,15:15:00,,10.98,,7.48,,0.03,,2.8,,105.7,,8.4,,91.7,,9.77,,638
5/23/2016,15:30:00,,11.09,,7.49,,0.03,,2.7,,106.2,,8.4,,91.7,,9.78,,638
5/23/2016,15:45:00,,11.2,,7.49,,0.03,,3.5,,106.1,,8.4,,92,,9.75,,638
5/23/2016,16:00:00,,11.3,,7.48,,0.03,,2.7,,106.5,,8.4,,91.8,,9.76,,638
5/23/2016,16:15:00,,11.4,,7.48,,0.03,,2.5,,106.8,,8.4,,91.8,,9.77,,638
5/23/2016,16:30:00,,11.5,,7.49,,0.03,,3.3,,107,,8.4,,92,,9.77,,638
5/23/2016,16:45:00,,11.58,,7.49,,0.03,,3.2,,106.9,,8.4,,92.1,,9.74,,638
5/23/2016,17:00:00,,11.63,,7.49,,0.03,,3.5,,106.7,,8.4,,91.9,,9.72,,638
5/23/2016,17:15:00,,11.66,,7.49,,0.03,,2.9,,106.7,,8.4,,92,,9.71,,638
5/23/2016,17:30:00,,11.67,,7.49,,0.03,,3,,106.1,,8.4,,92.1,,9.65,,638
5/23/2016,17:45:00,,11.69,,7.49,,0.03,,3.1,,106,,8.4,,91.9,,9.64,,638
5/23/2016,18:00:00,,11.72,,7.48,,0.03,,2.2,,106.2,,8.4,,91.9,,9.65,,638
5/23/2016,18:15:00,,11.72,,7.49,,0.03,,3.6,,105.9,,8.4,,92.1,,9.62,,638
5/23/2016,18:30:00,,11.68,,7.48,,0.03,,2.7,,105.5,,8.4,,92,,9.59,,638
5/23/2016,18:45:00,,11.65,,7.49,,0.03,,3.4,,105.2,,8.4,,91.9,,9.57,,638
5/23/2016,19:00:00,,11.64,,7.48,,0.03,,2.6,,104.9,,8.4,,92,,9.55,,638
5/23/2016,19:15:00,,11.62,,7.48,,0.03,,2.4,,104.7,,8.4,,92.3,,9.53,,638
5/23/2016,19:30:00,,11.58,,7.48,,0.03,,2.8,,104.5,,8.4,,92,,9.52,,638
5/23/2016,19:45:00,,11.55,,7.47,,0.03,,3.1,,103.4,,8.4,,92.2,,9.44,,638
5/23/2016,20:00:00,,11.51,,7.47,,0.03,,2.5,,102.9,,8.4,,92,,9.39,,638
5/23/2016,20:15:00,,11.48,,7.46,,0.03,,2.6,,102.9,,8.4,,92.1,,9.4,,638
5/23/2016,20:30:00,,11.44,,7.47,,0.03,,3.3,,102.3,,8.4,,92.4,,9.36,,638
5/23/2016,20:45:00,,11.39,,7.45,,0.03,,3,,101.6,,8.4,,92.1,,9.3,,638
5/23/2016,21:00:00,,11.33,,7.45,,0.03,,2.7,,101.5,,8.4,,92.1,,9.31,,638
5/23/2016,21:15:00,,11.27,,7.45,,0.03,,2.7,,101.2,,8.4,,92.4,,9.29,,638
5/23/2016,21:30:00,,11.21,,7.45,,0.03,,2.7,,100.1,,8.4,,92.4,,9.2,,638
5/23/2016,21:45:00,,11.13,,7.44,,0.03,,3.5,,99.9,,8.4,,92.5,,9.2,,638
5/23/2016,22:00:00,,11.04,,7.44,,0.03,,3.3,,99.6,,8.4,,92.5,,9.19,,638
5/23/2016,22:15:00,,10.96,,7.44,,0.03,,3.6,,98.9,,8.4,,92.4,,9.14,,638
5/23/2016,22:30:00,,10.86,,7.43,,0.03,,3,,98.5,,8.4,,92.2,,9.12,,638
5/23/2016,22:45:00,,10.77,,7.42,,0.03,,3.2,,98.2,,8.4,,92.2,,9.12,,638
5/23/2016,23:00:00,,10.68,,7.42,,0.03,,3.1,,97.7,,8.4,,92.4,,9.09,,638
5/23/2016,23:15:00,,10.6,,7.42,,0.03,,3.5,,97.7,,8.3,,92.3,,9.11,,638
5/23/2016,23:30:00,,10.52,,7.42,,0.03,,3.2,,97.3,,8.4,,92.3,,9.08,,638
5/23/2016,23:45:00,,10.44,,7.42,,0.03,,3.5,,97.1,,8.3,,92.3,,9.09,,638
5/24/2016,0:00:00,,10.37,,7.41,,0.03,,3.7,,96.6,,8.3,,92.2,,9.06,,638
5/24/2016,0:15:00,,10.3,,7.4,,0.03,,3.1,,96.4,,8.3,,92,,9.05,,638
5/24/2016,0:30:00,,10.22,,7.4,,0.03,,3.8,,96.4,,8.3,,92.3,,9.07,,638
5/24/2016,0:45:00,,10.15,,7.4,,0.03,,3.5,,96.1,,8.3,,92.2,,9.06,,638
5/24/2016,1:00:00,,10.09,,7.4,,0.03,,3.6,,96.1,,8.3,,92,,9.07,,638
5/24/2016,1:15:00,,10.02,,7.39,,0.03,,3.8,,95.7,,8.3,,92,,9.05,,638
5/24/2016,1:30:00,,9.95,,7.39,,0.03,,4.2,,95.6,,8.3,,92.1,,9.05,,638
5/24/2016,1:45:00,,9.89,,7.39,,0.03,,4,,95.5,,8.3,,92,,9.06,,638
5/24/2016,2:00:00,,9.82,,7.38,,0.03,,4.2,,95.5,,8.3,,92.2,,9.07,,638
5/24/2016,2:15:00,,9.75,,7.39,,0.03,,4.3,,95,,8.3,,91.8,,9.04,,638
5/24/2016,2:30:00,,9.68,,7.39,,0.03,,4.4,,95.3,,8.3,,91.9,,9.09,,638
5/24/2016,2:45:00,,9.6,,7.39,,0.03,,5.6,,95.3,,8.3,,92.2,,9.1,,638
5/24/2016,3:00:00,,9.54,,7.39,,0.03,,4.2,,95.3,,8.3,,92.1,,9.11,,638
5/24/2016,3:15:00,,9.46,,7.39,,0.03,,4.7,,94.6,,8.3,,91.9,,9.06,,638
5/24/2016,3:30:00,,9.39,,7.38,,0.03,,4.3,,95.1,,8.3,,92.3,,9.13,,638
5/24/2016,3:45:00,,9.32,,7.38,,0.03,,4.5,,94.9,,8.3,,91.9,,9.12,,638
5/24/2016,4:00:00,,9.25,,7.38,,0.03,,4,,94.8,,8.3,,92,,9.13,,638
5/24/2016,4:15:00,,9.18,,7.38,,0.03,,4,,94.9,,8.3,,92,,9.15,,638
5/24/2016,4:30:00,,9.11,,7.39,,0.03,,3.7,,94.8,,8.3,,92.1,,9.16,,638
5/24/2016,4:45:00,,9.03,,7.38,,0.03,,4,,94.3,,8.3,,92.3,,9.13,,638
5/24/2016,5:00:00,,8.95,,7.38,,0.03,,5.4,,94.6,,8.3,,92.4,,9.17,,638
5/24/2016,5:15:00,,8.87,,7.39,,0.03,,3.8,,94.4,,8.3,,92.4,,9.17,,638
5/24/2016,5:30:00,,8.8,,7.38,,0.03,,4.5,,94.6,,8.3,,92.3,,9.21,,638
5/24/2016,5:45:00,,8.72,,7.38,,0.03,,4,,94.6,,8.3,,92.1,,9.23,,638
5/24/2016,6:00:00,,8.65,,7.38,,0.03,,3.9,,94.3,,8.2,,92.4,,9.21,,638
5/24/2016,6:15:00,,8.57,,7.39,,0.03,,4.8,,94.6,,8.3,,92.2,,9.26,,638
5/24/2016,6:30:00,,8.51,,7.38,,0.03,,5.1,,94.5,,8.2,,92.4,,9.26,,638
5/24/2016,6:45:00,,8.45,,7.39,,0.03,,5.1,,95.1,,8.2,,92.4,,9.34,,638
5/24/2016,7:00:00,,8.4,,7.38,,0.03,,5,,94.9,,8.2,,92.2,,9.33,,638
5/24/2016,7:15:00,,8.35,,7.39,,0.03,,4.6,,95,,8.2,,92.2,,9.35,,638
5/24/2016,7:30:00,,8.31,,7.39,,0.03,,4,,95.5,,8.2,,92.3,,9.41,,638
5/24/2016,7:45:00,,8.28,,7.39,,0.03,,3.9,,95.5,,8.2,,92.3,,9.42,,638
5/24/2016,8:00:00,,8.27,,7.4,,0.03,,3.9,,95.9,,8.2,,92.4,,9.45,,638
5/24/2016,8:15:00,,8.28,,7.39,,0.03,,3.7,,96.4,,8.2,,92.4,,9.5,,638
5/24/2016,8:30:00,,8.31,,7.4,,0.03,,3.2,,96.7,,8.2,,92.4,,9.52,,638
5/24/2016,8:45:00,,8.33,,7.4,,0.03,,3.3,,97.5,,8.2,,92.5,,9.6,,638
5/24/2016,9:00:00,,8.37,,7.41,,0.03,,3.5,,97.6,,8.2,,92.5,,9.6,,638
5/24/2016,9:15:00,,8.42,,7.4,,0.03,,4.5,,98.2,,8.2,,92.5,,9.65,,638
5/24/2016,9:30:00,,8.49,,7.41,,0.03,,3.7,,98.4,,8.2,,92.5,,9.65,,638
5/24/2016,9:45:00,,8.55,,7.42,,0.03,,3.8,,99.1,,8.2,,92.8,,9.7,,638
5/24/2016,10:00:00,,8.6,,7.42,,0.03,,3.5,,99.3,,8.2,,92.6,,9.72,,638
5/24/2016,10:15:00,,8.69,,7.42,,0.03,,3.6,,99.9,,8.2,,92.6,,9.75,,638
5/24/2016,10:30:00,,8.79,,7.43,,0.03,,3.9,,100.3,,8.2,,92.8,,9.76,,638
5/24/2016,10:45:00,,8.92,,7.43,,0.03,,4.3,,100.9,,8.2,,92.8,,9.79,,638
5/24/2016,11:00:00,,8.98,,7.43,,0.03,,3.7,,101.2,,8.2,,92.5,,9.81,,638
5/24/2016,11:15:00,,9.03,,7.44,,0.03,,3.5,,101.2,,8.2,,93,,9.8,,638
5/24/2016,11:30:00,,9.17,,7.44,,0.03,,3.9,,102.1,,8.2,,92.9,,9.85,,638
5/24/2016,11:45:00,,9.31,,7.44,,0.03,,3.8,,102.8,,8.2,,92.7,,9.88,,638
5/24/2016,12:00:00,,9.46,,7.45,,0.03,,4.5,,103.5,,8.2,,92.8,,9.91,,638
5/24/2016,12:15:00,,9.52,,7.45,,0.03,,3.2,,103.1,,8.3,,92.8,,9.86,,638
5/24/2016,12:30:00,,9.71,,7.45,,0.03,,3.6,,103.8,,8.3,,92.9,,9.89,,638
5/24/2016,12:45:00,,9.78,,7.45,,0.03,,3,,104,,8.3,,92.8,,9.89,,638
5/24/2016,13:00:00,,9.93,,7.45,,0.03,,3.3,,104.1,,8.2,,93.3,,9.86,,638
5/24/2016,13:15:00,,10.08,,7.46,,0.03,,3.1,,104.9,,8.3,,93.3,,9.9,,638
5/24/2016,13:30:00,,10.25,,7.46,,0.03,,3.5,,105.3,,8.3,,93.1,,9.9,,638
