Hydrolab MS5 46008,,,,,,,,,,,,,,,
Log File Name : Beaver_052616_061516,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 052616,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 100516,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 052616,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 101500,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 061516,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,TurbSC,,IBatt,,SpCond,,LDO%,,LDO
MMDDYY,HHMMSS,,øC,,Units,,NTU,,Volts,,æS/cm,,Sat,,mg/l
,,,,,,,,,,,,,,,
5/27/2016,0:30:00,,11.81,,7.64,,5.8,,11.7,,111.1,,104.1,,9.3
5/27/2016,0:45:00,,11.72,,7.64,,6.3,,11.7,,110.8,,103.9,,9.3
5/27/2016,1:00:00,,11.62,,7.64,,6.4,,11.7,,111.1,,103.7,,9.3
5/27/2016,1:15:00,,11.53,,7.63,,6.8,,11.7,,110.7,,103.4,,9.29
5/27/2016,1:30:00,,11.43,,7.63,,6.3,,11.7,,111.1,,103.3,,9.31
5/27/2016,1:45:00,,11.34,,7.63,,6.9,,11.7,,110.8,,103,,9.3
5/27/2016,2:00:00,,11.24,,7.62,,7.5,,11.7,,110.7,,103.1,,9.33
5/27/2016,2:15:00,,11.15,,7.63,,6.3,,11.7,,111.1,,102.6,,9.31
5/27/2016,2:30:00,,11.06,,7.63,,7.2,,11.7,,110.8,,102.4,,9.3
5/27/2016,2:45:00,,10.96,,7.62,,6.6,,11.7,,110.7,,102.8,,9.36
5/27/2016,3:00:00,,10.87,,7.63,,7,,11.7,,110.7,,102.4,,9.35
5/27/2016,3:15:00,,10.78,,7.63,,6.3,,11.7,,110.7,,102.1,,9.34
5/27/2016,3:30:00,,10.69,,7.63,,8.4,,11.7,,111.1,,102,,9.35
5/27/2016,3:45:00,,10.6,,7.62,,6.8,,11.7,,111.1,,102,,9.37
5/27/2016,4:00:00,,10.51,,7.62,,6.9,,11.7,,111,,102,,9.39
5/27/2016,4:15:00,,10.43,,7.62,,6.7,,11.7,,110.8,,102.1,,9.42
5/27/2016,4:30:00,,10.34,,7.63,,6.9,,11.7,,111,,101.7,,9.39
5/27/2016,4:45:00,,10.26,,7.63,,7.1,,11.7,,110.6,,101.9,,9.44
5/27/2016,5:00:00,,10.17,,7.62,,7,,11.7,,110.6,,101.7,,9.44
5/27/2016,5:15:00,,10.08,,7.62,,6.5,,11.7,,110.9,,101.9,,9.47
5/27/2016,5:30:00,,9.99,,7.63,,6.2,,11.7,,111,,101.5,,9.46
5/27/2016,5:45:00,,9.91,,7.62,,6.2,,11.7,,110.7,,101.8,,9.51
5/27/2016,6:00:00,,9.83,,7.62,,6.3,,11.7,,110.6,,102.3,,9.57
5/27/2016,6:15:00,,9.75,,7.63,,6.2,,11.7,,110.6,,101.4,,9.5
5/27/2016,6:30:00,,9.68,,7.63,,6.6,,11.7,,110.5,,101.5,,9.53
5/27/2016,6:45:00,,9.61,,7.63,,6.7,,11.7,,110.9,,102,,9.59
5/27/2016,7:00:00,,9.56,,7.61,,6.2,,11.7,,110.6,,102.1,,9.61
5/27/2016,7:15:00,,9.51,,7.63,,5.8,,11.6,,111.1,,102.3,,9.64
5/27/2016,7:30:00,,9.49,,7.63,,7.8,,11.6,,111,,102.9,,9.7
