HYDROLAB MS5 64824,,,,,,,,,,,,,,,,,
Log File Name : Beaver_081816_090216,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 081816,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 093325,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 081816,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 100000,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 090216,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO,,IBatt,,SpCond,,BP
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,mg/l,,Volts,,æS/cm,,mmHg
,,,,,,,,,,,,,,,,,
8/18/2016,10:00:00,,20.99,,7.08,,-0.01,,0,,7.65,,12.8,,0.3,,637
8/18/2016,10:15:00,,20.3,,7.09,,-0.01,,2.1,,7.76,,12.7,,0.5,,637
8/18/2016,10:30:00,,12.01,,7.17,,0.05,,2,,9.16,,12.6,,116.2,,637
8/18/2016,10:45:00,,12.06,,7.19,,0.05,,1.4,,9.21,,12.6,,116.6,,637
8/18/2016,11:00:00,,12.1,,7.2,,0.05,,1.6,,9.27,,12.5,,116.4,,637
8/18/2016,11:15:00,,12.15,,7.21,,0.05,,1.6,,9.32,,12.5,,116.1,,637
8/18/2016,11:30:00,,12.22,,7.23,,0.05,,1.3,,9.34,,12.3,,116.2,,637
8/18/2016,11:45:00,,12.29,,7.23,,0.05,,1,,9.36,,12.3,,116.3,,637
8/18/2016,12:00:00,,12.36,,7.25,,0.05,,1.9,,9.45,,12.3,,116.1,,637
8/18/2016,12:15:00,,12.43,,7.25,,0.05,,1.1,,9.47,,12.2,,116.1,,637
8/18/2016,12:30:00,,12.51,,7.26,,0.05,,1.1,,9.5,,12.2,,116,,637
8/18/2016,12:45:00,,12.65,,7.28,,0.05,,1.2,,9.56,,12.1,,116,,637
8/18/2016,13:00:00,,12.76,,7.28,,0.05,,1,,9.57,,12.1,,115.6,,637
8/18/2016,13:15:00,,12.85,,7.29,,0.05,,1.1,,9.58,,12.1,,115.6,,637
8/18/2016,13:30:00,,12.9,,7.3,,0.05,,1.9,,9.63,,12,,115.9,,637
