8/18/2016,13:45:00,,12.98,,7.29,,0.05,,1.1,,9.65,,12,,115.6,,637
8/18/2016,14:00:00,,13.04,,7.31,,0.05,,1.1,,9.67,,11.9,,115.4,,637
8/18/2016,14:15:00,,13.07,,7.35,,0.05,,1.1,,9.69,,11.8,,115.6,,637
8/18/2016,14:30:00,,13.16,,7.32,,0.05,,1.1,,9.71,,11.8,,115.8,,637
8/18/2016,14:45:00,,13.28,,7.33,,0.05,,0.9,,9.75,,11.8,,115.9,,637
8/18/2016,15:00:00,,13.3,,7.33,,0.05,,0.9,,9.72,,11.8,,115.9,,637
8/18/2016,15:15:00,,13.29,,7.36,,0.05,,1.7,,9.71,,11.8,,115.5,,637
8/18/2016,15:30:00,,13.3,,7.33,,0.05,,1.1,,9.69,,11.8,,115.9,,637
8/18/2016,15:45:00,,13.32,,7.35,,0.05,,1.3,,9.69,,11.8,,115.6,,637
8/18/2016,16:00:00,,13.38,,7.33,,0.05,,1.1,,9.71,,11.8,,116,,637
8/18/2016,16:15:00,,13.5,,7.34,,0.05,,0.9,,9.72,,11.8,,115.7,,637
8/18/2016,16:30:00,,13.55,,7.34,,0.05,,1.1,,9.73,,11.8,,116,,637
8/18/2016,16:45:00,,13.59,,7.34,,0.05,,1.2,,9.74,,11.8,,116,,637
8/18/2016,17:00:00,,13.69,,7.35,,0.05,,1.1,,9.71,,11.8,,116.1,,637
8/18/2016,17:15:00,,13.81,,7.35,,0.05,,1.1,,9.69,,11.8,,116.2,,637
8/18/2016,17:30:00,,13.88,,7.36,,0.05,,1.1,,9.69,,11.8,,115.8,,637
8/18/2016,17:45:00,,13.9,,7.35,,0.05,,1.1,,9.69,,11.8,,116.1,,637
8/18/2016,18:00:00,,13.9,,7.35,,0.05,,1,,9.66,,11.7,,116.2,,637
8/18/2016,18:15:00,,13.9,,7.36,,0.05,,2,,9.7,,11.8,,116.1,,637
8/18/2016,18:30:00,,13.89,,7.35,,0.05,,1.3,,9.69,,11.8,,115.9,,637
8/18/2016,18:45:00,,13.89,,7.34,,0.05,,1.3,,9.64,,11.8,,116.2,,637
8/18/2016,19:00:00,,13.86,,7.35,,0.05,,1.2,,9.67,,11.7,,115.8,,637
8/18/2016,19:15:00,,13.83,,7.34,,0.05,,1.2,,9.6,,11.8,,115.8,,637
8/18/2016,19:30:00,,13.81,,7.34,,0.05,,1.2,,9.56,,11.7,,115.9,,637
8/18/2016,19:45:00,,13.79,,7.34,,0.05,,1.3,,9.51,,11.7,,115.9,,637
8/18/2016,20:00:00,,13.76,,7.34,,0.05,,1.1,,9.46,,11.7,,116.2,,637
8/18/2016,20:15:00,,13.73,,7.33,,0.05,,1.2,,9.46,,11.7,,116,,637
8/18/2016,20:30:00,,13.7,,7.34,,0.05,,1.1,,9.41,,11.7,,116.5,,637
8/18/2016,20:45:00,,13.67,,7.32,,0.05,,1.5,,9.39,,11.7,,116.3,,637
8/18/2016,21:00:00,,13.64,,7.31,,0.05,,1.3,,9.31,,11.7,,116,,637
8/18/2016,21:15:00,,13.6,,7.32,,0.05,,1.2,,9.28,,11.7,,116.1,,637
8/18/2016,21:30:00,,13.56,,7.31,,0.05,,1.6,,9.24,,11.7,,116.5,,637
8/18/2016,21:45:00,,13.52,,7.3,,0.05,,1.2,,9.22,,11.7,,116.3,,637
8/18/2016,22:00:00,,13.48,,7.29,,0.05,,1.2,,9.15,,11.7,,116.7,,637
8/18/2016,22:15:00,,13.42,,7.29,,0.05,,1.3,,9.13,,11.7,,116.3,,637
8/18/2016,22:30:00,,13.36,,7.33,,0.05,,1.1,,9.09,,11.7,,116.7,,637
8/18/2016,22:45:00,,13.31,,7.28,,0.05,,1.2,,9.03,,11.7,,116.7,,637
8/18/2016,23:00:00,,13.26,,7.28,,0.05,,1.3,,8.99,,11.7,,116.8,,637
8/18/2016,23:15:00,,13.22,,7.27,,0.05,,1.4,,8.97,,11.7,,116.8,,637
8/18/2016,23:30:00,,13.19,,7.27,,0.05,,1.3,,8.97,,11.7,,117,,637
8/18/2016,23:45:00,,13.16,,7.27,,0.05,,1.5,,8.94,,11.7,,116.9,,637
8/19/2016,0:00:00,,13.13,,7.26,,0.05,,1.4,,8.91,,11.7,,116.8,,637
8/19/2016,0:15:00,,13.09,,7.26,,0.05,,1.4,,8.9,,11.7,,116.7,,637
8/19/2016,0:30:00,,13.06,,7.25,,0.05,,1.6,,8.88,,11.6,,117.1,,637
8/19/2016,0:45:00,,13.03,,7.24,,0.05,,1.4,,8.85,,11.7,,116.8,,637
8/19/2016,1:00:00,,13.01,,7.24,,0.05,,1.3,,8.85,,11.7,,117.1,,637
8/19/2016,1:15:00,,12.99,,7.24,,0.05,,1.5,,8.81,,11.7,,117.1,,637
8/19/2016,1:30:00,,12.97,,7.25,,0.05,,1.4,,8.82,,11.6,,116.9,,637
8/19/2016,1:45:00,,12.95,,7.24,,0.05,,1.4,,8.79,,11.7,,117.3,,637
8/19/2016,2:00:00,,12.92,,7.23,,0.05,,1.4,,8.79,,11.6,,116.9,,637
8/19/2016,2:15:00,,12.88,,7.23,,0.05,,1.3,,8.79,,11.6,,117,,637
8/19/2016,2:30:00,,12.83,,7.23,,0.05,,1.8,,8.81,,11.6,,116.8,,637
8/19/2016,2:45:00,,12.79,,7.24,,0.05,,1.3,,8.75,,11.6,,117.4,,637
8/19/2016,3:00:00,,12.75,,7.25,,0.05,,1.4,,8.77,,11.6,,117.3,,637
8/19/2016,3:15:00,,12.73,,7.25,,0.05,,1.3,,8.74,,11.6,,117,,637
8/19/2016,3:30:00,,12.71,,7.25,,0.05,,1.9,,8.76,,11.6,,117.1,,637
8/19/2016,3:45:00,,12.68,,7.23,,0.05,,1.5,,8.73,,11.6,,117.3,,637
8/19/2016,4:00:00,,12.66,,7.23,,0.05,,1.4,,8.71,,11.6,,117.5,,637
8/19/2016,4:15:00,,12.63,,7.24,,0.05,,1.4,,8.72,,11.6,,117.1,,637
8/19/2016,4:30:00,,12.61,,7.23,,0.05,,1.5,,8.73,,11.6,,117.1,,637
8/19/2016,4:45:00,,12.59,,7.23,,0.05,,1.4,,8.7,,11.6,,117.2,,637
8/19/2016,5:00:00,,12.58,,7.24,,0.05,,1.6,,8.71,,11.6,,117.6,,637
8/19/2016,5:15:00,,12.56,,7.23,,0.05,,1.5,,8.68,,11.6,,117.5,,637
8/19/2016,5:30:00,,12.54,,7.24,,0.05,,1.4,,8.68,,11.6,,117.3,,637
8/19/2016,5:45:00,,12.52,,7.23,,0.05,,2,,8.68,,11.6,,117.7,,637
8/19/2016,6:00:00,,12.5,,7.23,,0.05,,1.5,,8.65,,11.6,,117.3,,637
8/19/2016,6:15:00,,12.49,,7.23,,0.05,,1.5,,8.66,,11.5,,117.7,,637
8/19/2016,6:30:00,,12.47,,7.21,,0.05,,1.4,,8.68,,11.6,,117.7,,637
8/19/2016,6:45:00,,12.45,,7.22,,0.05,,1.4,,8.69,,11.6,,117.5,,637
8/19/2016,7:00:00,,12.43,,7.22,,0.05,,1.6,,8.68,,11.5,,117.8,,637
8/19/2016,7:15:00,,12.42,,7.22,,0.05,,1.4,,8.65,,11.6,,117.5,,637
8/19/2016,7:30:00,,12.4,,7.22,,0.05,,1.5,,8.67,,11.6,,117.4,,637
8/19/2016,7:45:00,,12.38,,7.22,,0.05,,1.3,,8.69,,11.6,,117.5,,637
8/19/2016,8:00:00,,12.37,,7.24,,0.05,,1.5,,8.67,,11.6,,117.8,,637
8/19/2016,8:15:00,,12.36,,7.22,,0.05,,1.4,,8.65,,11.6,,117.9,,637
8/19/2016,8:30:00,,12.35,,7.23,,0.05,,1.3,,8.71,,11.6,,117.8,,637
8/19/2016,8:45:00,,12.35,,7.22,,0.05,,1.9,,8.69,,11.6,,117.6,,637
8/19/2016,9:00:00,,12.34,,7.22,,0.05,,1.6,,8.7,,11.5,,117.6,,637
8/19/2016,9:15:00,,12.34,,7.23,,0.05,,1.7,,8.73,,11.6,,118,,637
8/19/2016,9:30:00,,12.33,,7.24,,0.05,,1.4,,8.69,,11.6,,118,,637
8/19/2016,9:45:00,,12.33,,7.2,,0.05,,1.4,,8.73,,11.6,,118,,637
8/19/2016,10:00:00,,12.33,,7.23,,0.05,,1.3,,8.77,,11.6,,118.1,,637
8/19/2016,10:15:00,,12.34,,7.24,,0.05,,1.4,,8.81,,11.5,,118.1,,637
8/19/2016,10:30:00,,12.35,,7.24,,0.05,,1.7,,8.82,,11.6,,118.2,,637
8/19/2016,10:45:00,,12.35,,7.24,,0.05,,1.4,,8.87,,11.5,,117.7,,637
8/19/2016,11:00:00,,12.35,,7.25,,0.05,,1.8,,8.91,,11.5,,118.1,,637
8/19/2016,11:15:00,,12.36,,7.25,,0.05,,1.5,,8.9,,11.5,,117.8,,637
8/19/2016,11:30:00,,12.37,,7.25,,0.05,,1.3,,8.95,,11.5,,117.8,,637
8/19/2016,11:45:00,,12.38,,7.25,,0.05,,1.3,,8.96,,11.6,,117.8,,637
8/19/2016,12:00:00,,12.39,,7.26,,0.05,,1.6,,8.99,,11.5,,118.1,,637
8/19/2016,12:15:00,,12.41,,7.26,,0.05,,1.5,,9.02,,11.5,,118,,637
8/19/2016,12:30:00,,12.43,,7.26,,0.05,,1.4,,9.06,,11.5,,117.9,,637
8/19/2016,12:45:00,,12.46,,7.26,,0.05,,1.4,,9.1,,11.5,,118.1,,637
8/19/2016,13:00:00,,12.48,,7.26,,0.05,,1.4,,9.13,,11.6,,117.9,,637
8/19/2016,13:15:00,,12.5,,7.28,,0.05,,1.6,,9.17,,11.5,,117.9,,637
8/19/2016,13:30:00,,12.54,,7.27,,0.05,,1.5,,9.2,,11.5,,118,,637
8/19/2016,13:45:00,,12.57,,7.27,,0.05,,1.3,,9.22,,11.6,,118.5,,637
8/19/2016,14:00:00,,12.6,,7.28,,0.05,,1.5,,9.28,,11.5,,118.1,,637
8/19/2016,14:15:00,,12.65,,7.29,,0.05,,1.3,,9.3,,11.5,,118.6,,637
8/19/2016,14:30:00,,12.72,,7.29,,0.05,,1.4,,9.37,,11.6,,118.1,,637
8/19/2016,14:45:00,,12.79,,7.3,,0.05,,1.5,,9.39,,11.6,,118.2,,637
8/19/2016,15:00:00,,12.86,,7.3,,0.05,,1.3,,9.41,,11.5,,118.5,,637
8/19/2016,15:15:00,,12.93,,7.3,,0.05,,1.5,,9.47,,11.5,,118.6,,637
8/19/2016,15:30:00,,13.01,,7.32,,0.05,,1.6,,9.51,,11.6,,118.4,,637
8/19/2016,15:45:00,,13.05,,7.3,,0.05,,1.6,,9.52,,11.6,,118.7,,637
8/19/2016,16:00:00,,13.08,,7.31,,0.05,,1.5,,9.51,,11.5,,118.7,,637
8/19/2016,16:15:00,,13.13,,7.34,,0.05,,1.4,,9.5,,11.6,,118.7,,637
8/19/2016,16:30:00,,13.16,,7.33,,0.05,,1.4,,9.52,,11.5,,118.7,,637
8/19/2016,16:45:00,,13.18,,7.33,,0.05,,1.9,,9.58,,11.6,,118.2,,637
8/19/2016,17:00:00,,13.21,,7.33,,0.05,,1.6,,9.61,,11.6,,118.2,,637
8/19/2016,17:15:00,,13.23,,7.34,,0.05,,1.7,,9.63,,11.6,,118.6,,637
8/19/2016,17:30:00,,13.31,,7.34,,0.05,,1.5,,9.61,,11.6,,118.7,,637
8/19/2016,17:45:00,,13.39,,7.34,,0.05,,1.7,,9.62,,11.6,,118.8,,637
8/19/2016,18:00:00,,13.43,,7.34,,0.05,,1.5,,9.63,,11.6,,118.4,,637
8/19/2016,18:15:00,,13.46,,7.34,,0.05,,1.6,,9.63,,11.6,,118.9,,637
8/19/2016,18:30:00,,13.48,,7.35,,0.05,,1.7,,9.59,,11.6,,118.5,,637
8/19/2016,18:45:00,,13.52,,7.35,,0.05,,1.9,,9.64,,11.6,,118.8,,637
8/19/2016,19:00:00,,13.54,,7.35,,0.05,,1.7,,9.59,,11.6,,118.6,,637
8/19/2016,19:15:00,,13.54,,7.35,,0.05,,1.4,,9.61,,11.6,,118.5,,637
8/19/2016,19:30:00,,13.52,,7.32,,0.05,,1.8,,9.56,,11.6,,118.9,,637
8/19/2016,19:45:00,,13.48,,7.34,,0.05,,1.6,,9.54,,11.6,,118.9,,637
8/19/2016,20:00:00,,13.45,,7.34,,0.05,,1.6,,9.52,,11.6,,118.9,,637
8/19/2016,20:15:00,,13.41,,7.34,,0.05,,1.5,,9.46,,11.6,,119,,637
8/19/2016,20:30:00,,13.37,,7.34,,0.05,,1.5,,9.42,,11.6,,119,,637
8/19/2016,20:45:00,,13.35,,7.33,,0.05,,1.6,,9.39,,11.6,,118.7,,637
8/19/2016,21:00:00,,13.32,,7.33,,0.05,,1.7,,9.32,,11.6,,119,,637
8/19/2016,21:15:00,,13.28,,7.33,,0.05,,1.6,,9.36,,11.6,,118.8,,637
8/19/2016,21:30:00,,13.23,,7.31,,0.05,,1.5,,9.31,,11.6,,118.8,,637
8/19/2016,21:45:00,,13.19,,7.31,,0.05,,1.7,,9.25,,11.5,,119.1,,637
8/19/2016,22:00:00,,13.14,,7.31,,0.05,,1.6,,9.16,,11.5,,119.1,,637
8/19/2016,22:15:00,,13.1,,7.3,,0.05,,1.5,,9.12,,11.6,,119.4,,637
8/19/2016,22:30:00,,13.05,,7.3,,0.05,,2.3,,9.09,,11.5,,119.3,,637
8/19/2016,22:45:00,,12.99,,7.29,,0.05,,2,,9.07,,11.5,,119.4,,637
8/19/2016,23:00:00,,12.94,,7.28,,0.05,,1.7,,9,,11.5,,119.1,,637
8/19/2016,23:15:00,,12.89,,7.27,,0.05,,1.7,,8.99,,11.5,,119.4,,637
8/19/2016,23:30:00,,12.84,,7.27,,0.05,,2,,8.93,,11.5,,119.5,,637
8/19/2016,23:45:00,,12.78,,7.26,,0.05,,1.8,,8.91,,11.5,,119.5,,637
8/20/2016,0:00:00,,12.73,,7.27,,0.05,,2.7,,8.89,,11.5,,119.5,,637
8/20/2016,0:15:00,,12.67,,7.26,,0.05,,2.8,,8.85,,11.5,,119.2,,637
8/20/2016,0:30:00,,12.62,,7.26,,0.05,,2.8,,8.86,,11.5,,119.6,,637
8/20/2016,0:45:00,,12.57,,7.26,,0.05,,2.6,,8.84,,11.5,,119.5,,637
8/20/2016,1:00:00,,12.51,,7.25,,0.05,,3.1,,8.81,,11.4,,119.1,,637
8/20/2016,1:15:00,,12.46,,7.25,,0.05,,2.7,,8.81,,11.5,,119,,637
8/20/2016,1:30:00,,12.41,,7.24,,0.05,,2.8,,8.81,,11.5,,119.5,,637
8/20/2016,1:45:00,,12.36,,7.24,,0.05,,2.2,,8.81,,11.4,,119.2,,637
8/20/2016,2:00:00,,12.31,,7.24,,0.05,,2.3,,8.8,,11.4,,119.2,,637
8/20/2016,2:15:00,,12.26,,7.24,,0.05,,3.1,,8.79,,11.4,,119.2,,637
8/20/2016,2:30:00,,12.21,,7.23,,0.05,,2.3,,8.79,,11.4,,119.6,,637
8/20/2016,2:45:00,,12.17,,7.24,,0.05,,2.3,,8.78,,11.4,,119.2,,637
8/20/2016,3:00:00,,12.13,,7.24,,0.05,,3.2,,8.76,,11.4,,119.1,,637
8/20/2016,3:15:00,,12.11,,7.24,,0.05,,2.7,,8.76,,11.4,,119.6,,637
8/20/2016,3:30:00,,12.09,,7.24,,0.05,,2.5,,8.78,,11.4,,119.5,,637
8/20/2016,3:45:00,,12.07,,7.23,,0.05,,2.5,,8.8,,11.4,,119.7,,637
8/20/2016,4:00:00,,12.06,,7.23,,0.05,,2.3,,8.75,,11.4,,119.3,,637
8/20/2016,4:15:00,,12.04,,7.24,,0.05,,2.2,,8.76,,11.4,,119.6,,637
8/20/2016,4:30:00,,12.03,,7.23,,0.05,,2.8,,8.76,,11.4,,119.7,,637
8/20/2016,4:45:00,,12.02,,7.23,,0.05,,2.3,,8.74,,11.4,,119.3,,637
8/20/2016,5:00:00,,12,,7.24,,0.05,,2.3,,8.73,,11.4,,119.6,,637
8/20/2016,5:15:00,,11.99,,7.23,,0.05,,2.1,,8.71,,11.4,,119.6,,637
8/20/2016,5:30:00,,11.97,,7.22,,0.05,,2,,8.72,,11.4,,119.4,,637
8/20/2016,5:45:00,,11.95,,7.23,,0.05,,2,,8.7,,11.4,,119.4,,637
8/20/2016,6:00:00,,11.94,,7.23,,0.05,,2.4,,8.72,,11.4,,119.4,,637
8/20/2016,6:15:00,,11.92,,7.22,,0.05,,2.3,,8.68,,11.4,,119.4,,637
8/20/2016,6:30:00,,11.9,,7.23,,0.05,,2,,8.67,,11.4,,119.6,,637
8/20/2016,6:45:00,,11.88,,7.22,,0.05,,1.9,,8.71,,11.4,,119.7,,637
8/20/2016,7:00:00,,11.87,,7.22,,0.05,,2.1,,8.7,,11.4,,119.8,,637
8/20/2016,7:15:00,,11.86,,7.23,,0.05,,1.9,,8.72,,11.4,,119.4,,637
8/20/2016,7:30:00,,11.85,,7.2,,0.05,,1.8,,8.73,,11.4,,119.8,,637
8/20/2016,7:45:00,,11.84,,7.22,,0.05,,1.8,,8.73,,11.4,,119.4,,637
8/20/2016,8:00:00,,11.83,,7.23,,0.05,,1.8,,8.75,,11.4,,119.9,,637
8/20/2016,8:15:00,,11.82,,7.23,,0.05,,2,,8.75,,11.4,,119.9,,637
8/20/2016,8:30:00,,11.82,,7.23,,0.05,,2.9,,8.79,,11.4,,120,,637
8/20/2016,8:45:00,,11.82,,7.23,,0.05,,1.9,,8.82,,11.4,,119.4,,637
8/20/2016,9:00:00,,11.83,,7.23,,0.05,,2,,8.83,,11.4,,119.9,,637
8/20/2016,9:15:00,,11.83,,7.24,,0.05,,1.8,,8.84,,11.4,,120.1,,637
8/20/2016,9:30:00,,11.84,,7.23,,0.05,,2.8,,8.93,,11.4,,119.6,,637
8/20/2016,9:45:00,,11.87,,7.24,,0.05,,2.2,,8.95,,11.4,,119.8,,637
8/20/2016,10:00:00,,11.9,,7.24,,0.05,,1.8,,8.97,,11.4,,119.9,,637
8/20/2016,10:15:00,,11.97,,7.25,,0.05,,1.9,,9.02,,11.4,,119.9,,637
8/20/2016,10:30:00,,12.01,,7.26,,0.05,,2,,9.08,,11.4,,119.8,,637
8/20/2016,10:45:00,,12.02,,7.26,,0.05,,2.1,,9.11,,11.4,,119.9,,637
8/20/2016,11:00:00,,12.04,,7.26,,0.05,,2.3,,9.16,,11.4,,120.3,,637
8/20/2016,11:15:00,,12.11,,7.27,,0.05,,1.9,,9.16,,11.4,,120.3,,637
8/20/2016,11:30:00,,12.2,,7.27,,0.05,,1.9,,9.23,,11.4,,120.4,,637
8/20/2016,11:45:00,,12.29,,7.28,,0.05,,1.9,,9.28,,11.4,,119.9,,637
8/20/2016,12:00:00,,12.39,,7.28,,0.05,,1.8,,9.32,,11.4,,120.1,,637
8/20/2016,12:15:00,,12.48,,7.28,,0.05,,1.9,,9.4,,11.4,,120.5,,637
8/20/2016,12:30:00,,12.56,,7.29,,0.05,,1.8,,9.4,,11.4,,120,,637
8/20/2016,12:45:00,,12.65,,7.3,,0.05,,2.2,,9.45,,11.4,,120.5,,637
8/20/2016,13:00:00,,12.77,,7.3,,0.05,,1.9,,9.49,,11.4,,120.1,,637
8/20/2016,13:15:00,,12.89,,7.31,,0.05,,2.2,,9.5,,11.4,,120.3,,637
8/20/2016,13:30:00,,13,,7.32,,0.05,,2,,9.56,,11.4,,120.5,,637
8/20/2016,13:45:00,,13.13,,7.32,,0.05,,1.7,,9.56,,11.4,,120.3,,637
8/20/2016,14:00:00,,13.25,,7.33,,0.05,,1.9,,9.58,,11.4,,120.2,,637
8/20/2016,14:15:00,,13.35,,7.33,,0.05,,2.2,,9.63,,11.4,,120.7,,637
8/20/2016,14:30:00,,13.41,,7.34,,0.05,,1.7,,9.62,,11.4,,120.4,,637
8/20/2016,14:45:00,,13.51,,7.34,,0.05,,2,,9.65,,11.4,,120.8,,637
8/20/2016,15:00:00,,13.59,,7.35,,0.05,,1.8,,9.66,,11.4,,120.9,,637
8/20/2016,15:15:00,,13.66,,7.35,,0.05,,2.2,,9.67,,11.4,,120.6,,637
8/20/2016,15:30:00,,13.7,,7.35,,0.05,,1.9,,9.7,,11.5,,121,,637
8/20/2016,15:45:00,,13.78,,7.35,,0.05,,1.9,,9.71,,11.5,,120.5,,637
8/20/2016,16:00:00,,13.84,,7.33,,0.05,,1.9,,9.69,,11.5,,120.9,,637
8/20/2016,16:15:00,,13.9,,7.36,,0.05,,1.9,,9.72,,11.5,,121.1,,637
8/20/2016,16:30:00,,13.9,,7.36,,0.05,,1.8,,9.68,,11.5,,120.7,,637
8/20/2016,16:45:00,,13.93,,7.37,,0.05,,1.9,,9.68,,11.5,,121,,637
8/20/2016,17:00:00,,13.98,,7.36,,0.05,,1.9,,9.68,,11.5,,121.2,,637
8/20/2016,17:15:00,,14.03,,7.37,,0.05,,2,,9.69,,11.5,,120.8,,637
8/20/2016,17:30:00,,14.02,,7.37,,0.05,,2.1,,9.69,,11.5,,120.9,,637
8/20/2016,17:45:00,,14,,7.37,,0.05,,2.6,,9.66,,11.4,,121,,637
8/20/2016,18:00:00,,13.99,,7.37,,0.05,,2.1,,9.63,,11.5,,120.8,,637
8/20/2016,18:15:00,,13.98,,7.37,,0.05,,2.1,,9.64,,11.5,,121.3,,637
8/20/2016,18:30:00,,13.95,,7.37,,0.05,,1.9,,9.6,,11.5,,120.9,,637
8/20/2016,18:45:00,,13.91,,7.36,,0.05,,2.5,,9.56,,11.5,,121.2,,637
8/20/2016,19:00:00,,13.89,,7.36,,0.05,,2.2,,9.54,,11.5,,121.3,,637
8/20/2016,19:15:00,,13.88,,7.36,,0.05,,2.5,,9.55,,11.5,,120.9,,637
8/20/2016,19:30:00,,13.86,,7.35,,0.05,,1.9,,9.49,,11.5,,121.4,,637
8/20/2016,19:45:00,,13.83,,7.36,,0.05,,2.1,,9.44,,11.5,,121.1,,637
8/20/2016,20:00:00,,13.8,,7.35,,0.05,,1.9,,9.42,,11.5,,121.1,,637
8/20/2016,20:15:00,,13.77,,7.35,,0.05,,2.3,,9.33,,11.5,,121.4,,637
8/20/2016,20:30:00,,13.74,,7.34,,0.05,,2.5,,9.31,,11.5,,121.2,,637
8/20/2016,20:45:00,,13.71,,7.34,,0.05,,2,,9.24,,11.5,,121.5,,637
8/20/2016,21:00:00,,13.67,,7.33,,0.05,,2.3,,9.21,,11.5,,121.6,,637
8/20/2016,21:15:00,,13.64,,7.32,,0.05,,2.2,,9.17,,11.4,,121.5,,637
8/20/2016,21:30:00,,13.6,,7.31,,0.05,,2,,9.08,,11.5,,121.3,,637
8/20/2016,21:45:00,,13.57,,7.32,,0.05,,2,,9.11,,11.4,,121.6,,637
8/20/2016,22:00:00,,13.54,,7.3,,0.05,,2.4,,9.02,,11.4,,121.3,,637
8/20/2016,22:15:00,,13.51,,7.3,,0.05,,2.1,,9,,11.4,,121.9,,637
8/20/2016,22:30:00,,13.49,,7.31,,0.05,,2,,8.94,,11.4,,121.8,,637
8/20/2016,22:45:00,,13.45,,7.29,,0.05,,2.5,,8.9,,11.4,,121.9,,637
8/20/2016,23:00:00,,13.42,,7.29,,0.05,,2,,8.84,,11.4,,121.9,,637
8/20/2016,23:15:00,,13.39,,7.27,,0.05,,2.1,,8.8,,11.4,,122,,637
8/20/2016,23:30:00,,13.36,,7.28,,0.05,,2.4,,8.79,,11.4,,122,,637
8/20/2016,23:45:00,,13.32,,7.27,,0.05,,2.3,,8.73,,11.4,,122,,637
8/21/2016,0:00:00,,13.29,,7.27,,0.05,,2.4,,8.71,,11.4,,122.1,,637
8/21/2016,0:15:00,,13.26,,7.26,,0.05,,2.4,,8.68,,11.4,,122.1,,637
8/21/2016,0:30:00,,13.23,,7.27,,0.05,,2.3,,8.68,,11.4,,122,,637
8/21/2016,0:45:00,,13.2,,7.27,,0.05,,2.7,,8.62,,11.4,,122.3,,637
8/21/2016,1:00:00,,13.16,,7.26,,0.05,,2.3,,8.65,,11.4,,122.3,,637
8/21/2016,1:15:00,,13.13,,7.26,,0.05,,2.3,,8.61,,11.4,,121.8,,637
8/21/2016,1:30:00,,13.1,,7.26,,0.05,,2.1,,8.61,,11.4,,122.3,,637
8/21/2016,1:45:00,,13.07,,7.26,,0.05,,2.5,,8.58,,11.4,,122.4,,637
8/21/2016,2:00:00,,13.04,,7.25,,0.05,,2.5,,8.6,,11.4,,122.1,,637
8/21/2016,2:15:00,,13,,7.25,,0.05,,2.4,,8.58,,11.4,,122.5,,637
8/21/2016,2:30:00,,12.97,,7.26,,0.05,,2.2,,8.56,,11.4,,122.2,,637
8/21/2016,2:45:00,,12.94,,7.25,,0.05,,2.3,,8.54,,11.4,,122.2,,637
8/21/2016,3:00:00,,12.91,,7.25,,0.05,,2.5,,8.54,,11.4,,122.2,,637
8/21/2016,3:15:00,,12.88,,7.25,,0.05,,2.4,,8.53,,11.4,,122.7,,637
8/21/2016,3:30:00,,12.84,,7.25,,0.05,,2.2,,8.54,,11.4,,122.5,,637
8/21/2016,3:45:00,,12.82,,7.24,,0.05,,2.8,,8.51,,11.4,,122.2,,637
8/21/2016,4:00:00,,12.79,,7.24,,0.05,,2.1,,8.48,,11.4,,122.6,,637
8/21/2016,4:15:00,,12.76,,7.24,,0.05,,2.4,,8.49,,11.4,,122.7,,637
