"","(Intercept)","cont_area","elev_mean","prcp","shrub","slope_P","sweM1","tair","wetland","cont_area:elev_mean","model.rmse","df","logLik","AICc","delta","weight"
"196",0.116010661550148,0.00464040337892053,-0.00348332429451754,NA,NA,NA,NA,0.870598732519709,-0.00128568545506849,NA,1.61515504497253,7,-5003.18110386046,10020.4049395027,234.970853404398,3.966545496272e-52
"212",0.133172802768695,0.00464189414818112,-0.00287282327398443,NA,NA,-0.0741417197524517,NA,0.869074699709174,-0.00142992691523864,NA,1.61502788186689,8,-5002.81813160174,10021.6912250355,236.257138937266,2.08496651963051e-52
"116",0.109315444934036,0.00457072441460753,-0.00281542022848456,NA,NA,-0.0553082609115824,-0.000458991028497699,0.868361083325465,NA,NA,1.61508003943509,8,-5002.90174734833,10021.8584565287,236.424370430437,1.91772013501176e-52
"228",0.171566813591445,0.00462038396060832,-0.00332029356433411,NA,NA,NA,-0.000564341463377263,0.865973097756057,-0.00111185985687905,NA,1.61506106958181,8,-5002.95350175104,10021.9619653341,236.527879235857,1.82099425903314e-52
"214",0.0253841747820903,0.00481406312674336,NA,-0.110474220323614,NA,-0.278594119298674,NA,0.86907484132293,-0.000726519935331466,NA,1.61537467576655,8,-5003.10200243948,10022.258966711,236.824880612743,1.56969598369716e-52
"118",0.0128702248468151,0.00477612860743943,NA,-0.109789785561209,NA,-0.267424414421619,-0.000216558484892062,0.86883325110749,NA,NA,1.61539255636381,8,-5003.12933380375,10022.3136294396,236.87954334128,1.52737503013403e-52
"244",0.16786941456999,0.00462813215122838,-0.00286399147486833,NA,NA,-0.0618909379585344,-0.00038017503782062,0.866207611435198,-0.00128889246770562,NA,1.61498554726732,9,-5002.72470311133,10023.518134745,238.084048646713,8.36355048132858e-53
"246",0.0407277926698879,0.0048075012867013,NA,-0.109748637134225,NA,-0.272648515481535,-0.000176101976866948,0.86779143217233,-0.000662473418318023,NA,1.61536954853747,9,-5003.08214804335,10024.233024609,238.798938510765,5.84997918802761e-53
"82",-0.205963374962123,0.00479030526543795,NA,NA,NA,-0.277572158240085,NA,0.879876995229637,NA,NA,1.61817352891615,6,-5007.73030359675,10027.4926438068,242.058557708498,1.14640218645822e-53
"114",-0.152171501640649,0.0047803163389171,NA,NA,NA,-0.26235799412446,-0.000479441964037475,0.875853379523519,NA,NA,1.61810192804266,7,-5007.57878454855,10029.2003008789,243.766214780584,4.88117056862106e-54
"210",-0.16447543709857,0.00482936391064102,NA,NA,NA,-0.282605510960344,NA,0.878107034324126,-0.000847307647608084,NA,1.61813467137785,7,-5007.65162369379,10029.3459791693,243.911893071052,4.53827015576272e-54
"242",-0.123269839465231,0.00481282595373143,NA,NA,NA,-0.267768196560759,-0.000437423956474155,0.874771703419497,-0.000686239691827161,NA,1.61807618558656,8,-5007.52832478343,10031.1116113989,245.677525300647,1.87710332058892e-54
"238",-0.698967782130014,0.00502349561477564,NA,-0.102175204207748,0.010112167674149,NA,-0.00288724629828213,0.882313397422428,0.00321136737944369,NA,1.6173035465271,9,-5006.94501424667,10031.9587570157,246.524670917399,1.22894612517413e-54
"110",-0.571459436015258,0.00520051782353784,NA,-0.101825858563971,0.00924947638182515,NA,-0.00278481219828909,0.877844780039763,NA,NA,1.61801247745844,8,-5008.09260550147,10032.240172835,246.806086736718,1.06763837568307e-54
"234",-0.852899486346706,0.0050255130842922,NA,NA,0.0103430428726989,NA,-0.00312031454428549,0.888720074182659,0.00317473681565242,NA,1.61963601168243,8,-5010.78956030815,10037.6340824484,252.199996350073,7.19700137058046e-56
"106",-0.726439420512552,0.00520054260214785,NA,NA,0.00948977808131619,NA,-0.00301827793464808,0.884283111096287,NA,NA,1.62032541797309,7,-5011.90768739773,10037.8581065772,252.42402047894,6.43436011921061e-56
"102",-0.309410109032925,0.00511772819719124,NA,-0.105165958776317,NA,NA,-0.0019905065311237,0.876226711659769,NA,NA,1.62122928577447,7,-5012.9223550742,10039.8874419302,254.453355831885,2.33260279161629e-56
"230",-0.370068672190297,0.00500963426369655,NA,-0.105548945224429,NA,NA,-0.00200750148586651,0.878764467760145,0.00187905470523243,NA,1.62099322943778,8,-5012.51605768244,10041.0870771969,255.652991098659,1.28039303407537e-56
"78",-0.935056437871405,0.00536552645293572,NA,-0.114746358334466,0.00609130360547196,NA,NA,0.905645216119292,NA,NA,1.62151415002178,7,-5013.86465055853,10041.7720328988,256.337946800546,9.0909037957399e-57
"206",-1.04901126730927,0.00522720137634192,NA,-0.115412516282274,0.00669647686456015,NA,NA,0.910084339597397,0.00259886936910595,NA,1.62104104791064,8,-5013.11165823521,10042.2782783025,256.844192204198,7.05792874026249e-57
"70",-0.668558540042813,0.00527085894250165,NA,-0.114484670754234,NA,NA,NA,0.898682602520388,NA,NA,1.62311329734272,6,-5016.17926578402,10044.3905681813,258.956482083022,2.45470524151702e-57
"198",-0.727775088093278,0.00517133915354576,NA,-0.11491490811721,NA,NA,NA,0.901217977397421,0.00175115664561077,NA,1.62290382430383,7,-5015.82731931666,10045.6973704151,260.263284316798,1.27711748371454e-57
"98",-0.462144593695397,0.00511556264843055,NA,NA,NA,NA,-0.00221035819935088,0.882830616640066,NA,NA,1.62370563715813,6,-5016.9791032342,10045.9902430817,260.55615698339,1.10314946555346e-57
"226",-0.521052312686151,0.00501138416365861,NA,NA,NA,NA,-0.00222752362727985,0.885297538701375,0.00181061233748733,NA,1.62348910336757,7,-5016.60306500723,10047.2488617962,261.81477569794,5.87934272981043e-58
"74",-1.1460452321429,0.00538126236839085,NA,NA,0.00606146892325702,NA,NA,0.915628941518894,NA,NA,1.6244823399265,6,-5018.73846986786,10049.508976349,264.074890250706,1.89911445011137e-58
"202",-1.25677455206964,0.00524823717256531,NA,NA,0.00664331587744461,NA,NA,0.919953759192347,0.00250051746512503,NA,1.62404654994993,7,-5018.04397318916,10050.1306781601,264.6965920618,1.39171499097784e-58
"66",-0.880127237772528,0.00528704375606862,NA,NA,NA,NA,NA,0.908672090619669,NA,NA,1.62606454114228,5,-5021.0216235951,10052.0661217613,266.632035663028,5.28778839390867e-59
"194",-0.936951073786922,0.00519273205097805,NA,NA,NA,NA,NA,0.911109791378806,0.00166030984858503,NA,1.62587816844305,6,-5020.70643613232,10053.4449088779,268.010822779639,2.65383702618813e-59
"255",0.565613792135832,NA,-0.00720067949810235,-0.122907963734007,0.0378616022541356,-0.511831001403766,-0.00266359282161616,0.846098774861892,0.0192271626498039,NA,1.71712065494913,10,-5166.65494512821,10353.3939238699,567.959837771579,1.953319192979e-124
"223",0.359594940689404,NA,-0.00738333953587247,-0.134590807270617,0.0380006742424834,-0.598411498270362,NA,0.865214195823478,0.0186821400787312,NA,1.71962503849126,9,-5170.73043036986,10359.5295892621,574.095503163771,9.08720668602191e-126
"251",0.363812536669732,NA,-0.00707146694827885,NA,0.0381381014625608,-0.5199933644283,-0.00296969748063945,0.854323721847043,0.0192841747487125,NA,1.72035248594478,9,-5171.57765192212,10361.2240323666,575.789946268302,3.89481434578127e-126
"219",0.109683821822335,NA,-0.00726287050318726,NA,0.038325509744831,-0.61853217305901,NA,0.876759516072068,0.0186756049757892,NA,1.72351795747598,8,-5176.6788305793,10369.4126229907,583.978536892389,6.49167695134274e-128
"239",0.768457390358319,NA,-0.0102264378667022,-0.12679868921254,0.0281223835170411,NA,-0.00373571082638965,0.845036288002277,0.0200985666457401,NA,1.72356393894649,9,-5176.37449055287,10370.8177096281,585.383623529804,3.21548296457172e-128
"235",0.563150772874125,NA,-0.010141991566886,NA,0.0282440381175899,NA,-0.00407024542134854,0.853520922695661,0.0201706753906601,NA,1.72701296801975,8,-5181.57652659447,10379.208015021,593.773928922727,4.84523165881213e-130
"207",0.514475144507614,NA,-0.0112756489455888,-0.145390694685387,0.0258558036194598,NA,NA,0.873390642189285,0.0194998186857048,NA,1.72887061564641,8,-5184.88465343793,10385.8242687079,600.390182609635,1.77261048037515e-131
"203",0.248984543970579,NA,-0.0112863223712299,NA,0.0257612434043755,NA,NA,0.886214016156606,0.0195210212669052,NA,1.73342002476957,7,-5191.76793363603,10397.5785990538,612.144512955534,4.96812951316189e-134
"253",-0.259489454518294,NA,NA,-0.110486180156793,0.0429528038507754,-1.1249072552204,-0.00310771820486197,0.868768423587869,0.0229336474945637,NA,1.73470160270105,9,-5193.98700836291,10406.0427452482,620.608659149875,7.21484351094538e-136
"249",-0.428195477526144,NA,NA,NA,0.043129914180838,-1.12249803228621,-0.00337549614713686,0.875805416353227,0.0229259735561722,NA,1.73727465496219,8,-5197.8931507014,10411.8412632349,626.407177136576,3.97278198918418e-137
"221",-0.52703921304131,NA,NA,-0.123791900857043,0.0432705280615968,-1.24476873906049,NA,0.891882568427234,0.0223967962133015,NA,1.73815683329803,8,-5199.4457778422,10414.9465175165,629.512431418179,8.41002590651568e-138
"217",-0.744196960785397,NA,NA,NA,0.0435010666338322,-1.25372179855331,NA,0.90210729432965,0.0223354489540037,NA,1.74140296211663,7,-5204.37919840178,10422.8011285853,637.367042487045,1.65649531248479e-139
"231",1.21873486788215,NA,-0.00816125260668772,-0.130243207567965,NA,NA,-0.00258969959113959,0.848881634944383,0.0193731105541166,NA,1.74551004665218,8,-5208.68357470823,10433.4221112485,647.988025150249,8.18225725312842e-142
"247",1.2245817490544,NA,-0.00859143178746457,-0.130559670963478,NA,0.058770689656712,-0.00275626508654591,0.848586078072996,0.0195064158468333,NA,1.74533230725934,9,-5208.50888747619,10435.0865034747,649.65241737643,3.56004059280685e-142
"127",1.82817922362342,NA,-0.00936519903421005,-0.126150073552514,0.038320627119736,-0.613234554395428,-0.00186370753619468,0.804380119422419,NA,NA,1.74581684226271,9,-5209.30455613615,10436.6778407946,651.243754696348,1.60657291705886e-142
"95",1.65653866995947,NA,-0.00945036520893875,-0.134318639209603,0.038414711740492,-0.672343734691335,NA,0.818727912777504,NA,NA,1.74697431347118,8,-5211.25388402049,10438.562729873,653.128643774764,6.26039849916729e-143
"199",1.01378094452126,NA,-0.00902615874253743,-0.143253639859041,NA,NA,NA,0.86874758152604,0.0189922094065016,NA,1.74792261230852,7,-5212.77286107905,10439.5884539399,654.154367841586,3.74859764118045e-143
"215",1.01703352593043,NA,-0.00880058707018338,-0.142716867006228,NA,-0.0272684739349203,NA,0.868294727661437,0.0189421183976457,NA,1.74793165438328,8,-5212.73178543477,10441.5185327016,656.084446603318,1.42809648308852e-143
"227",1.01000703476476,NA,-0.00806531527628675,NA,NA,NA,-0.00292875158269959,0.857615589050286,0.0194433699390584,NA,1.74911878893538,7,-5214.03559010355,10442.1139119889,656.679825890578,1.0604069856837e-143
"243",1.01479404411615,NA,-0.00846245230079897,NA,NA,0.054313133148991,-0.00308361850878678,0.857365016146084,0.0195668388732356,NA,1.74896395629089,8,-5213.88686368918,10443.8286892104,658.39460311215,4.49897352589978e-144
"123",1.62587399050779,NA,-0.00924163562829215,NA,0.0385998651081598,-0.621673418697635,-0.00217491694226064,0.812676930213087,NA,NA,1.74916553789246,8,-5214.32232062924,10444.6996030905,659.265516992253,2.91069628381104e-144
"91",1.40760408407093,NA,-0.00933189795407298,NA,0.038733212307891,-0.69212555807118,NA,0.830246008634864,NA,NA,1.75078649460202,7,-5216.99537841487,10448.0334886115,662.599402513226,5.49607751028813e-145
"195",0.750662290181716,NA,-0.00904500391451729,NA,NA,NA,NA,0.881395604744457,0.0190147771219673,NA,1.75229237365812,6,-5219.31204842321,10450.6561334597,665.222047361416,1.48099214846411e-145
