"agency_cd","site_no","Date","max_temp","max_temp_flag","min_temp","min_temp_flag","mean_temp","mean_temp_flag"
"USGS",15266110,1998-10-09,7.5,"A",6.5,"A",7,"A"
"USGS",15266110,1998-10-10,7.5,"A",6.5,"A",7,"A"
"USGS",15266110,1998-10-11,7.5,"A",6.5,"A",6.5,"A"
"USGS",15266110,1998-10-12,7,"A",6.5,"A",6.5,"A"
"USGS",15266110,1998-10-13,7,"A",6.5,"A",7,"A"
"USGS",15266110,1998-10-14,7,"A",6.5,"A",6.5,"A"
"USGS",15266110,1998-10-15,6.5,"A",6,"A",6.5,"A"
"USGS",15266110,1998-10-16,6.5,"A",6,"A",6.5,"A"
"USGS",15266110,1998-10-17,7,"A",6.5,"A",6.5,"A"
"USGS",15266110,1998-10-18,6.5,"A",6,"A",6.5,"A"
"USGS",15266110,1998-10-19,7.5,"A",6,"A",7,"A"
"USGS",15266110,1998-10-20,8.5,"A",6,"A",7.5,"A"
"USGS",15266110,1998-10-21,7.5,"A",6,"A",6.5,"A"
"USGS",15266110,1998-10-22,8.5,"A",6,"A",6.5,"A"
"USGS",15266110,1998-10-23,8,"A",7.5,"A",8,"A"
"USGS",15266110,1998-10-24,8.5,"A",7.5,"A",8,"A"
"USGS",15266110,1998-10-25,8,"A",7,"A",7,"A"
"USGS",15266110,1998-10-26,7,"A",6.5,"A",6.5,"A"
"USGS",15266110,1998-10-27,7,"A",6,"A",6.5,"A"
"USGS",15266110,1998-10-28,6.5,"A",6,"A",6,"A"
"USGS",15266110,1998-10-29,6.5,"A",5.5,"A",6,"A"
"USGS",15266110,1998-10-30,6,"A",5.5,"A",6,"A"
"USGS",15266110,1998-10-31,6.5,"A",6,"A",6,"A"
"USGS",15266110,1998-11-01,6,"A",5.5,"A",6,"A"
"USGS",15266110,1998-11-02,6,"A",5.5,"A",6,"A"
"USGS",15266110,1998-11-03,6.5,"A",5.5,"A",6,"A"
"USGS",15266110,1998-11-04,6,"A",5.5,"A",5.5,"A"
"USGS",15266110,1998-11-05,5.5,"A",5,"A",5.5,"A"
"USGS",15266110,1998-11-06,5.5,"A",5,"A",5.5,"A"
"USGS",15266110,1998-11-07,5.5,"A",5,"A",5,"A"
"USGS",15266110,1998-11-08,5,"A",4.5,"A",5,"A"
"USGS",15266110,1998-11-09,5,"A",4.5,"A",5,"A"
"USGS",15266110,1998-11-10,5,"A",4,"A",4.5,"A"
"USGS",15266110,1998-11-11,5,"A",4.5,"A",5,"A"
"USGS",15266110,1998-11-12,5,"A",4,"A",4.5,"A"
"USGS",15266110,1998-11-13,4.5,"A",4,"A",4.5,"A"
"USGS",15266110,1998-11-14,4.5,"A",4,"A",4.5,"A"
"USGS",15266110,1998-11-15,4.5,"A",4,"A",4,"A"
"USGS",15266110,1998-11-16,4.5,"A",3.5,"A",4,"A"
"USGS",15266110,1998-11-17,4,"A",3.5,"A",4,"A"
"USGS",15266110,1998-11-18,4,"A",3.5,"A",3.5,"A"
"USGS",15266110,1998-11-19,4,"A",3.5,"A",4,"A"
"USGS",15266110,1998-11-20,4,"A",3.5,"A",4,"A"
"USGS",15266110,1998-11-21,3.5,"A",3.5,"A",3.5,"A"
"USGS",15266110,1998-11-22,3.5,"A",3.5,"A",3.5,"A"
"USGS",15266110,1998-11-23,3.5,"A",3,"A",3.5,"A"
"USGS",15266110,1998-11-24,3.5,"A",3.5,"A",3.5,"A"
"USGS",15266110,1998-11-25,3.5,"A",3,"A",3.5,"A"
"USGS",15266110,1998-11-26,3,"A",2.5,"A",2.5,"A"
"USGS",15266110,1998-11-27,2.5,"A",0,"A",1.5,"A"
"USGS",15266110,1998-11-28,3,"A",0.5,"A",2,"A"
"USGS",15266110,1998-11-29,3.5,"A",3,"A",3,"A"
"USGS",15266110,1998-11-30,3.5,"A",3.5,"A",3.5,"A"
"USGS",15266110,1998-12-01,3.5,"A",3.5,"A",3.5,"A"
"USGS",15266110,1998-12-02,3.5,"A",3,"A",3.5,"A"
"USGS",15266110,1998-12-03,3,"A",2.5,"A",3,"A"
"USGS",15266110,1998-12-16,2.5,"A",0.5,"A",1.5,"A"
"USGS",15266110,1998-12-17,1,"A",0.5,"A",0.5,"A"
"USGS",15266110,1998-12-18,1,"A",0.5,"A",1,"A"
"USGS",15266110,1998-12-19,2.5,"A",1,"A",2,"A"
"USGS",15266110,1998-12-20,3,"A",2.5,"A",2.5,"A"
"USGS",15266110,1998-12-21,2.5,"A",1.5,"A",2,"A"
"USGS",15266110,1998-12-22,2,"A",1.5,"A",1.5,"A"
"USGS",15266110,1998-12-23,2,"A",1,"A",1.5,"A"
"USGS",15266110,1998-12-24,1.5,"A",0.5,"A",0.5,"A"
"USGS",15266110,1998-12-25,1,"A",0.5,"A",0.5,"A"
"USGS",15266110,1998-12-26,1,"A",0.5,"A",1,"A"
"USGS",15266110,1998-12-27,1,"A",0.5,"A",0.5,"A"
"USGS",15266110,1998-12-28,0.5,"A",0.5,"A",0.5,"A"
"USGS",15266110,1998-12-29,0.5,"A",0.5,"A",0.5,"A"
"USGS",15266110,1998-12-30,0.5,"A",0.5,"A",0.5,"A"
"USGS",15266110,1998-12-31,0.5,"A",0.5,"A",0.5,"A"
