HYDROLAB MS5 64823,,,,,,,,,,,,,,,,,,,
Log File Name : Ptarmigan_062016_071816,,,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 062016,,,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 094853,,,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 062016,,,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 100000,,,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 071816,,,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO%,,IBatt,,SpCond,,LDO,,BP
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,Sat,,Volts,,æS/cm,,mg/l,,mmHg
,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 181433,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 181433,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 181438,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 181438,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 181442,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 181442,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 181447,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 181447,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 181451,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 181451,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 181456,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 181456,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 181500,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 181500,,,,,,,,,,,,,,,,,,,
6/20/2016,18:15:00,,999999,#,NaN,,NaN,,NaN,,NaN,,0,,NaN,,NaN,,NaN
Power loss from 010170 000000 to 062016 182935,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 182935,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 182940,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 182940,,,,,,,,,,,,,,,,,,,
