Hydrolab MS5 47420,,,,,,,,,,,,,,,
Log File Name : Ptarmigan_072816_081216,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 072816,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 102305,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 072816,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 100000,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 081216,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,SpCond,,pH,,IBatt,,TurbSC,,LDO%,,LDO
MMDDYY,HHMMSS,,øC,,æS/cm,,Units,,Volts,,NTU,,Sat,,mg/l
,,,,,,,,,,,,,,,
7/28/2016,10:30:00,,22.01,,0,,7.17,,12.5,,96.9,,113.3,,8.19
7/28/2016,10:45:00,,22.42,,0,,7.11,,12.8,,0,,112.5,,8.07
7/28/2016,11:00:00,,22.16,,311,,5.26,,12.5,,161.7,,112.1,,8.07
7/28/2016,11:15:00,,21.89,,311,,5.25,,12.3,,33.6,,111.9,,8.1
7/28/2016,11:30:00,,21.61,,311,,5.29,,12.3,,146.6,,112.1,,8.16
7/28/2016,11:45:00,,21.34,,313,,5.2,,12.2,,75.2,,112.2,,8.21
7/28/2016,12:00:00,,21.2,,313,,5.17,,12.1,,114.8,,111.6,,8.19
7/28/2016,12:15:00,,21.13,,0.1,,5.25,,12.1,,0,,111.2,,8.18
7/28/2016,12:30:00,,21.1,,0,,5.26,,12.1,,0,,111.6,,8.22
7/28/2016,12:45:00,,21.23,,0,,5.28,,12.1,,0,,111.6,,8.19
7/28/2016,13:00:00,,21.42,,0,,5.29,,12.1,,0,,111.5,,8.15
7/28/2016,13:15:00,,21.58,,0.1,,5.24,,12.1,,0,,111.9,,8.16
7/28/2016,13:30:00,,21.73,,0,,5.25,,12.2,,0,,111.7,,8.12
7/28/2016,13:45:00,,21.81,,0.1,,5.25,,12.2,,0,,111.4,,8.08
7/28/2016,14:00:00,,21.77,,176.1,,7.2,,12.2,,1140,,110.2,,8
7/28/2016,14:15:00,,21.87,,170.6,,7.2,,12.2,,54.9,,110.3,,7.99
7/28/2016,14:30:00,,21.93,,167.7,,7.21,,12.2,,43.8,,110,,7.96
7/28/2016,14:45:00,,22.16,,322,,5.58,,12.2,,321.8,,111.5,,8.03
7/28/2016,15:00:00,,13.85,,88.2,,8.66,,12.2,,4.6,,117,,10.02
7/28/2016,15:15:00,,13.95,,88.2,,8.49,,12.1,,4.3,,116.6,,9.97
7/28/2016,15:30:00,,14.02,,88.2,,8.45,,12.1,,4.9,,116.4,,9.93
7/28/2016,15:45:00,,14.05,,88,,8.49,,12,,4.5,,116.1,,9.91
7/28/2016,16:00:00,,14.02,,88.3,,8.47,,11.9,,4.4,,115.6,,9.86
7/28/2016,16:15:00,,14.01,,88,,8.46,,11.9,,4.5,,116,,9.9
7/28/2016,16:30:00,,13.99,,88.2,,8.46,,11.9,,5.1,,116.9,,9.99
7/28/2016,16:45:00,,13.96,,88,,8.47,,11.8,,5,,116.3,,9.94
7/28/2016,17:00:00,,13.97,,88,,8.46,,11.8,,4.9,,116,,9.92
7/28/2016,17:15:00,,13.96,,88.1,,8.46,,11.8,,4.3,,115.8,,9.9
7/28/2016,17:30:00,,13.97,,88,,8.43,,11.8,,5.9,,116.1,,9.92
7/28/2016,17:45:00,,14.05,,88,,8.42,,11.8,,5.6,,115.5,,9.86
7/28/2016,18:00:00,,14.17,,88.2,,8.46,,11.8,,5.2,,116.6,,9.92
7/28/2016,18:15:00,,14.19,,87.9,,8.46,,11.8,,4.7,,116.4,,9.9
7/28/2016,18:30:00,,14.21,,88,,8.42,,11.8,,4.6,,115.8,,9.85
7/28/2016,18:45:00,,14.28,,88,,8.41,,11.8,,4.4,,116,,9.84
7/28/2016,19:00:00,,14.33,,88,,8.44,,11.8,,3.7,,116.3,,9.86
7/28/2016,19:15:00,,14.34,,88.2,,8.43,,11.8,,4.5,,115.4,,9.78
7/28/2016,19:30:00,,14.33,,87.9,,8.42,,11.8,,4.6,,115.3,,9.78
7/28/2016,19:45:00,,14.34,,88.1,,8.4,,11.8,,4.7,,115.8,,9.82
7/28/2016,20:00:00,,14.35,,88.2,,8.43,,11.8,,4.6,,115.8,,9.81
7/28/2016,20:15:00,,14.36,,88.2,,8.44,,11.8,,4.4,,115.8,,9.81
7/28/2016,20:30:00,,14.39,,88.1,,8.42,,11.8,,4.6,,115.6,,9.79
