HYDROLAB MS5 64819,,,,,,,,,,,,,,,,,,
Log File Name : Ptarmigan_071416_080616,,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 071116,,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 161047,,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 071416,,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 080000,,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 080616,,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Date,Time,,Temp,,IBatt,,SpCond,,pH,,TurbSC,,LDO%,,LDO,,BP
,MMDDYY,HHMMSS,,øC,,Volts,,æS/cm,,Units,,NTU,,Sat,,mg/l,,mmHg
,,,,,,,,,,,,,,,,,,
7/14/2016 19:00,7/14/2016,19:00:00,,11.53,,12.3,,116.3,,7.89,,0,,120.3,,10.95,,637
7/14/2016 19:15,7/14/2016,19:15:00,,11.46,,12.2,,116.1,,7.89,,0,,120.2,,10.97,,637
7/14/2016 19:30,7/14/2016,19:30:00,,11.43,,12.2,,116.4,,7.89,,0,,120.2,,10.98,,637
7/14/2016 19:45,7/14/2016,19:45:00,,11.41,,12.2,,116.4,,7.9,,0,,120.2,,10.98,,637
7/14/2016 20:00,7/14/2016,20:00:00,,11.4,,12.1,,115.9,,7.88,,0,,119.8,,10.95,,637
7/14/2016 20:15,7/14/2016,20:15:00,,11.38,,12.1,,116.4,,7.88,,0,,119.5,,10.92,,637
7/14/2016 20:30,7/14/2016,20:30:00,,11.36,,12.1,,116.5,,7.87,,0,,119.8,,10.95,,637
7/14/2016 20:45,7/14/2016,20:45:00,,11.35,,12.1,,116.2,,7.87,,0,,118.9,,10.88,,637
7/14/2016 21:00,7/14/2016,21:00:00,,11.31,,12.1,,115.9,,7.87,,0,,119.3,,10.92,,637
7/14/2016 21:15,7/14/2016,21:15:00,,11.28,,12.1,,115.9,,7.86,,0,,119.3,,10.93,,637
7/14/2016 21:30,7/14/2016,21:30:00,,11.28,,12.1,,115.9,,7.85,,0,,119.1,,10.92,,637
7/14/2016 21:45,7/14/2016,21:45:00,,11.27,,12.1,,116.2,,7.86,,0,,119,,10.9,,637
7/14/2016 22:00,7/14/2016,22:00:00,,11.25,,12,,116.1,,7.85,,0,,119,,10.91,,637
7/14/2016 22:15,7/14/2016,22:15:00,,11.23,,12,,116.2,,7.84,,0,,119.2,,10.93,,637
7/14/2016 22:30,7/14/2016,22:30:00,,11.19,,12,,116.2,,7.84,,0,,119.3,,10.95,,637
7/14/2016 22:45,7/14/2016,22:45:00,,11.12,,12,,115.7,,7.84,,0,,118.7,,10.92,,637
7/14/2016 23:00,7/14/2016,23:00:00,,11.07,,12,,116,,7.83,,0,,118.7,,10.92,,637
7/14/2016 23:15,7/14/2016,23:15:00,,11.03,,11.9,,115.6,,7.83,,0,,118.7,,10.94,,637
7/14/2016 23:30,7/14/2016,23:30:00,,11,,11.9,,115.9,,7.81,,0,,118.8,,10.95,,637
7/14/2016 23:45,7/14/2016,23:45:00,,10.96,,11.8,,115.8,,7.81,,0,,118.6,,10.94,,637
7/15/2016 0:00,7/15/2016,0:00:00,,10.92,,11.8,,115.8,,7.81,,0,,118.9,,10.98,,637
7/15/2016 0:15,7/15/2016,0:15:00,,10.92,,11.8,,115.5,,7.8,,0,,119.2,,11.01,,637
7/15/2016 0:30,7/15/2016,0:30:00,,10.94,,11.8,,115.4,,7.8,,0,,118.9,,10.98,,637
7/15/2016 0:45,7/15/2016,0:45:00,,10.99,,11.8,,115.4,,7.8,,0,,118.7,,10.95,,637
7/15/2016 1:00,7/15/2016,1:00:00,,11.05,,11.8,,115.5,,7.81,,0,,118.7,,10.93,,637
7/15/2016 1:15,7/15/2016,1:15:00,,11.1,,11.8,,115.9,,7.78,,0,,118.4,,10.89,,637
7/15/2016 1:30,7/15/2016,1:30:00,,11.15,,11.8,,115.7,,7.79,,0,,118.9,,10.93,,637
7/15/2016 1:45,7/15/2016,1:45:00,,11.16,,11.8,,115.3,,7.79,,0,,118.6,,10.9,,637
7/15/2016 2:00,7/15/2016,2:00:00,,11.15,,11.8,,115.6,,7.77,,0,,118.6,,10.9,,637
7/15/2016 2:15,7/15/2016,2:15:00,,11.13,,11.8,,115.7,,7.78,,0,,118.8,,10.92,,637
7/15/2016 2:30,7/15/2016,2:30:00,,11.1,,11.8,,115.8,,7.78,,0,,119.2,,10.96,,637
7/15/2016 2:45,7/15/2016,2:45:00,,11.07,,11.8,,115.7,,7.76,,0,,118.7,,10.93,,637
7/15/2016 3:00,7/15/2016,3:00:00,,11.05,,11.8,,115.7,,7.76,,0,,118.6,,10.92,,637
7/15/2016 3:15,7/15/2016,3:15:00,,11.02,,11.8,,115.6,,7.76,,0,,118.6,,10.93,,637
7/15/2016 3:30,7/15/2016,3:30:00,,11,,11.8,,115.7,,7.75,,0,,118.4,,10.92,,637
7/15/2016 3:45,7/15/2016,3:45:00,,10.99,,11.8,,115.6,,7.76,,0,,118.7,,10.95,,637
7/15/2016 4:00,7/15/2016,4:00:00,,10.97,,11.8,,115.7,,7.76,,0,,118.3,,10.92,,637
7/15/2016 4:15,7/15/2016,4:15:00,,10.96,,11.8,,115.6,,7.75,,0,,118.8,,10.96,,637
7/15/2016 4:30,7/15/2016,4:30:00,,10.95,,11.8,,115.6,,7.75,,0,,118.6,,10.95,,637
7/15/2016 4:45,7/15/2016,4:45:00,,10.94,,11.8,,115.6,,7.74,,0,,118.4,,10.93,,637
