FID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,loc_id,accs_sitei,contact_si,descriptio,latitude,longitude,datum,contact_id,gridcode,rca_id,elev_mean,elev_min,elev_max,OBJECTID_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Leng,Shape_Le_1,Shape_Area
14,1,15,1,15,16,APU10,Data_Logger_6,DL6 ADF&G weir site,59.77182401,-151.8340092, ,3,934,934,30.63916482,7.341513157,59.72710419,15,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
15,1,16,1,16,17,APU11,Data_Logger_7,DL7 pullout on Sterling,59.71146647,-151.6874863, ,3,1095,1095,113.2564078,80.19999695,165.6499939,16,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
16,1,17,1,17,18,APU12,Data_Logger_8,DL8 ADF&G off Nfork Rd,59.77855,-151.818427, ,3,936,936,21.28830773,16.14364624,39.19806671,17,{E7157AB8-AB93-46A4-9D02-D7B73FD56092},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,21133,85.51901045,AK,1.90203E+11,North Fork Anchor River,S,NM,1.90203E+11,0,0,1.411625533,99848.90057,85520876.07
17,1,18,1,18,19,APU1,hobo 2,hobo 2 2015 mainstem bridge,59.77232157,-151.8361442, ,3,933,933,28.75871649,4.733393192,51.4806633,18,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
18,1,19,1,19,20,APU2,hobo 3,hobo 3 2015 Tall Tree lane off Sterling,59.86385692,-151.6575542, ,3,248,248,133.2897926,102.9599991,190.0500031,19,{7C96AF70-6C2C-4AB2-B452-FAE2F96D3C85},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,24099,97.52707206,AK,1.90203E+11,Chakok River,S,NM,1.90203E+11,0,0,0.912276971,65836.62716,97527152
19,1,20,1,20,21,APU3,hobo 4,hobo 4 2015 Cottonwood lane of Nfork rd,59.79403445,-151.7514673, ,3,504,504,71.95358526,53.42372894,91.04044342,20,{E7157AB8-AB93-46A4-9D02-D7B73FD56092},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,21133,85.51901045,AK,1.90203E+11,North Fork Anchor River,S,NM,1.90203E+11,0,0,1.411625533,99848.90057,85520876.07
20,1,21,1,21,22,KBERR7,COTT-A,COTT-A,59.86079,-151.55452, ,2,293,293,283.8638474,256.5299988,313.7099915,21,{7C96AF70-6C2C-4AB2-B452-FAE2F96D3C85},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,24099,97.52707206,AK,1.90203E+11,Chakok River,S,NM,1.90203E+11,0,0,0.912276971,65836.62716,97527152
21,1,22,1,22,23,KBERR9,COTT-C,COTT-C,59.85259,-151.66737, ,2,350,350,113.0110436,90.69000244,149.1699982,22,{7C96AF70-6C2C-4AB2-B452-FAE2F96D3C85},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,24099,97.52707206,AK,1.90203E+11,Chakok River,S,NM,1.90203E+11,0,0,0.912276971,65836.62716,97527152
22,1,23,1,23,24,KBERR8,COTT-W,COTT-W,59.87161,-151.64252, ,2,248,248,133.2897926,102.9599991,190.0500031,23,{7C96AF70-6C2C-4AB2-B452-FAE2F96D3C85},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,24099,97.52707206,AK,1.90203E+11,Chakok River,S,NM,1.90203E+11,0,0,0.912276971,65836.62716,97527152
23,0,24,0,24,25,KBERR5,DEEP,DEEP,60.02938,-151.68159, ,2,0,0,0,0,0,24, , , , , ,,0,0,0, , , , , , ,0,0,0,0,0
24,1,25,1,25,26,KBERR2,NANC,NANC,59.77474,-151.82925, ,2,935,935,32.62317134,7.073865414,51.13951111,25,{E7157AB8-AB93-46A4-9D02-D7B73FD56092},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,21133,85.51901045,AK,1.90203E+11,North Fork Anchor River,S,NM,1.90203E+11,0,0,1.411625533,99848.90057,85520876.07
25,1,26,1,26,27,KBERR45,NANC-44-L,NANC-44-L,59.8613647,-151.6583606, ,2,248,248,133.2897926,102.9599991,190.0500031,26,{7C96AF70-6C2C-4AB2-B452-FAE2F96D3C85},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,24099,97.52707206,AK,1.90203E+11,Chakok River,S,NM,1.90203E+11,0,0,0.912276971,65836.62716,97527152
26,1,27,1,27,28,KBERR46,NANC-44-M,NANC-44-M,59.87247013,-151.6421482, ,2,248,248,133.2897926,102.9599991,190.0500031,27,{7C96AF70-6C2C-4AB2-B452-FAE2F96D3C85},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,24099,97.52707206,AK,1.90203E+11,Chakok River,S,NM,1.90203E+11,0,0,0.912276971,65836.62716,97527152
